fold,seed,inner_cv_rmse,n_estimators,learning_rate
0,0,1.7261870000648962,150,1.8918821751015724
1,1,1.7288577058912409,500,1.9955000636838514
2,2,1.7155248045586036,300,1.931826923616743
3,3,1.7131417848920794,400,1.9087741026502045
4,4,1.7230185151140223,300,1.94859681941873
5,5,1.7267806451658374,500,1.9447946153788909
6,6,1.7217092739092965,350,1.9906039727519298
7,7,1.7240407932263557,300,1.9909433123127507
8,8,1.724362534202801,500,1.9651520626543777
9,9,1.714321844692125,400,1.8267276039489027
10,10,1.7087958831934582,300,1.9474966860223786
11,11,1.7235754040251448,350,1.9464323015275484
12,12,1.7178114842324295,400,1.9523005621619853
13,13,1.7221957294902122,500,1.9954066620976396
14,14,1.7261241238912757,400,1.9673511846238918
15,15,1.7300144215499067,250,1.9844779940713453
16,16,1.7127875339873362,150,1.998949671841675
17,17,1.7240673189552542,450,1.9774267012247377
18,18,1.7188563388424654,250,1.9810998885381816
19,19,1.7251187979038582,500,1.987865814644143
20,20,1.722995889772415,500,1.754680916108999
21,21,1.7259876754195183,300,1.9497941335497542
22,22,1.7228849446175736,300,1.9911353627592872
23,23,1.726271825010612,350,1.9791511662583754
24,24,1.7117695931918544,350,1.9728846895260281
25,25,1.7280741974180103,200,1.9910423977234937
26,26,1.7159097317467378,500,1.9835837672330432
27,27,1.7150453852722243,400,1.943895983032341
28,28,1.7263397143078691,450,1.971978090328744
29,29,1.718535396187415,450,1.9761453485642886
30,30,1.7305822096724754,350,1.9946587081861262
31,31,1.7208008508412385,500,1.952235544856148
32,32,1.7228968667332716,250,1.986494381191941
33,33,1.721827664413065,250,1.984102434687478
34,34,1.7102492754780276,400,1.7953957613755185
35,35,1.7181245405212546,200,1.8347242038701108
36,36,1.7384756222473166,300,1.868815348265796
37,37,1.7210897549693474,350,1.785974926457672
38,38,1.7216984009479936,500,1.9650088423222238
39,39,1.7190163924723603,400,1.885990256129998
40,40,1.7149862424701212,200,1.9344617614276038
41,41,1.7202322509560535,350,1.9627363610508604
42,42,1.7278099733397252,150,1.947357336876329
43,43,1.719764954679747,500,1.9576440550181071
44,44,1.7218091592980258,350,1.9638070447475673
45,45,1.7271592259957511,500,1.9385107209377859
46,46,1.7159259803465114,250,1.8954312333228405
47,47,1.7233159543806367,300,1.910190695291916
48,48,1.718890477710806,450,1.919208881752554
49,49,1.7161671339558269,500,1.9155346219044111
