Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.6367963437857873,0.05951285511980219,2.620101766258435,2.652930799938851
Solar_Radiation_Wm2,1.3330409011592832,0.03175364201068854,1.3241828282179626,1.3417098719938225
Coating_Reflectivity_%,0.16723687244514726,0.014464091674470027,0.16323809149991728,0.1713343051537944
Heat_Reflective_Treatment,0.1603625148117343,0.01614974426235972,0.15593625799380653,0.16488924194356064
Emissivity,0.0002466402775636971,0.0005004356346971366,0.00011530575404634257,0.00039166024194431685
Wall_Thickness_cm,9.556670487998888e-05,0.00030009008602339715,1.3724494538977318e-05,0.00017934780775691586
Wind_Speed_ms,8.952547374410937e-05,0.0004730436463507621,-4.318254529559295e-05,0.0002195021405924782
Building_Orientation,6.905614476698708e-05,0.0002493975046144293,7.37812717383089e-07,0.00013784042709277726
Occupancy_Level,3.7088500187405954e-05,0.00011795749892128971,5.546108445652508e-06,7.09813433440913e-05
Outdoor_Humidity_%,2.9055439613214737e-06,0.0003171604116970337,-8.819826229351877e-05,8.840141835255438e-05
Insulation_Level,-8.570243691339295e-06,0.0001522346274880705,-5.1357831628546344e-05,3.2201883813523715e-05
HVAC_Setpoint_C,-5.5233672492206234e-05,0.0004913471144244102,-0.00019160371067518384,7.989035006130435e-05
