fold,seed,inner_cv_rmse,n_estimators,max_samples,max_features
0,0,1.7180640521752704,180,0.5275337155541722,0.9741395814114154
1,1,1.7367061590720858,180,0.5174764878945188,0.9394154377809942
2,2,1.7281793196063178,190,0.6802245923777783,0.9728866700303365
3,3,1.7337184332991094,160,0.8062817283833829,0.9632757722066748
4,4,1.746044495861615,190,0.6206946437067179,0.9438055399678759
5,5,1.7596560701496415,110,0.5001079214426726,0.9562698478057122
6,6,1.732392785162307,170,0.9508938639575488,0.9994524164519684
7,7,1.736150737015049,190,0.7525337014877602,0.9977975749813003
8,8,1.7336031970529355,200,0.5940607646042018,0.9306864820014256
9,9,1.7319040052294266,200,0.6348145088336175,0.9658320603065759
10,10,1.7139547282193557,200,0.5051146399872077,0.997293435126698
11,11,1.7315653220257872,140,0.500320317728258,0.9596238777919253
12,12,1.7277943420140338,140,0.5358109814934279,0.954777255131288
13,13,1.7375996540307312,200,0.5683473115091847,0.9315038453751469
14,14,1.7329127741592534,140,0.5188809542071121,0.981087207556077
15,15,1.7306155842497553,130,0.6173450695787489,0.9653276192572325
16,16,1.713383600724209,130,0.6193922960679547,0.9857662409355987
17,17,1.7242107700848543,190,0.5212321571954637,0.9789598504750002
18,18,1.7383341140561992,200,0.6728733562366479,0.9465516307426103
19,19,1.7332941386922713,100,0.6385102122240625,0.9804206789009272
20,20,1.715708459449536,180,0.5305987644611433,0.935346498923265
21,21,1.7359428670339132,120,0.5347854773063003,0.9337022419965442
22,22,1.7314536207178246,200,0.5005076008996054,0.9407638708110857
23,23,1.7331663437580822,110,0.5401887412102391,0.9799910177092802
24,24,1.7228643008300826,140,0.5587471782356774,0.9496216638736946
25,25,1.7405792808398057,190,0.5228738341858108,0.9981083046822233
26,26,1.7211573795301789,190,0.5673441624853582,0.9432325925135239
27,27,1.717710220099369,140,0.5260142447867319,0.9996540179860313
28,28,1.7203282202490435,200,0.5831401340283666,0.9580766951625941
29,29,1.724852094904079,180,0.6315016551287308,0.9998300849524566
30,30,1.7483213138700642,190,0.6006428382721339,0.9681225025136734
31,31,1.7435594085319521,120,0.5723441210941054,0.9947384119715128
32,32,1.7356608771841722,200,0.7293849773336407,0.9834620593616691
33,33,1.7147870426963276,150,0.5136518874550623,0.9313191452619278
34,34,1.7112464625531825,180,0.5449474017212821,0.9964456807959488
35,35,1.7200634759469096,200,0.5707783304521586,0.9753429648937435
36,36,1.7442981594747013,180,0.7068568911398828,0.9330921596023476
37,37,1.7180616926625263,190,0.5966853214645179,0.9371682513844998
38,38,1.7319419313839386,160,0.525171245854716,0.9832042750220016
39,39,1.72488311734441,150,0.5240203475058519,0.9980493590124276
40,40,1.732895093916787,200,0.6925265928643136,0.9666529677641362
41,41,1.731046085065517,190,0.5262124367736537,0.9836512123283341
42,42,1.7255552881924188,190,0.5497866900761196,0.9976233298881634
43,43,1.7311187240479025,100,0.536400775205409,0.9710118118576946
44,44,1.7193811417561302,100,0.5209210498993894,0.9392788408387222
45,45,1.7397702450641013,140,0.500017051493082,0.9673604897297206
46,46,1.7383359264869607,120,0.7646725278222732,0.9702054158835737
47,47,1.7250793148147054,200,0.5974362393291799,0.9695471496324066
48,48,1.7311904881888989,190,0.525062730055026,0.9746839092137883
49,49,1.7262266772208097,160,0.5034626796465874,0.9711921926560604
