fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7966917715742259,1.7180640521752704,12,6.985508064353744
1,1,50,2.3531639265155837,1.7367061590720858,12,0.34172401510547884
2,2,50,1.9628757143274818,1.7281793196063178,11,3.704396680307353
3,3,50,2.1183205164854684,1.7337184332991094,2,0.0
4,4,50,1.752820893934605,1.746044495861615,1,2.629942891394668
5,5,50,2.34884547147676,1.7596560701496415,5,0.0
6,6,50,1.7671788196618892,1.732392785162307,13,0.0
7,7,50,2.160313105551599,1.736150737015049,27,1.6118098828895728
8,8,50,1.7488505769906983,1.7336031970529355,1,0.5148204676246735
9,9,50,2.190657499841401,1.7319040052294266,9,0.7601063702119255
10,10,50,1.8075913447710579,1.7139547282193557,17,2.7612300018426295
11,11,50,1.9730609498321274,1.7315653220257872,11,0.38596567185384595
12,12,50,2.3044982453073586,1.7277943420140338,2,0.0
13,13,50,1.7715070539166653,1.7375996540307312,16,0.0
14,14,50,1.7506190449666748,1.7329127741592534,7,52.442730554307694
15,15,50,2.3156283768802535,1.7306155842497553,11,0.5196419610068508
16,16,50,1.9131761610044369,1.713383600724209,14,0.9101167696132684
17,17,50,2.2461665985830024,1.7242107700848543,11,0.18849670757099896
18,18,50,1.744555206190157,1.7383341140561992,1,0.0
19,19,50,2.3891972851327705,1.7332941386922713,3,1.1705409215934042
20,20,50,1.7356562899326662,1.715708459449536,15,5.611836036003284
21,21,50,1.8962761580834921,1.7359428670339132,4,0.0
22,22,50,2.0621272122969976,1.7314536207178246,16,0.0
23,23,50,1.7931618801758389,1.7331663437580822,4,9.668507235611857
24,24,50,1.7385621911380607,1.7228643008300826,1,0.0
25,25,50,2.2188521803260683,1.7405792808398057,8,0.5897449264471528
26,26,50,1.8144313629634472,1.7211573795301789,12,10.140631372744101
27,27,50,1.7783387824785162,1.717710220099369,2,3.9029642688117017
28,28,50,2.290248611903153,1.7203282202490435,4,0.0
29,29,50,2.3310798688392596,1.724852094904079,8,0.16844949239320778
30,30,50,1.8969786819083212,1.7483213138700642,11,2.334775057240906
31,31,50,1.8429661448638206,1.7435594085319521,20,6.8296552014906995
32,32,50,1.9085971479928774,1.7356608771841722,7,3.343603619678128
33,33,50,1.9877748446129992,1.7147870426963276,11,0.0
34,34,50,2.4660843301658115,1.7112464625531825,2,0.0
35,35,50,2.186757064352105,1.7200634759469096,6,0.4932871675447883
36,36,50,1.7462877959249146,1.7442981594747013,1,0.0
37,37,50,2.115905774140265,1.7180616926625263,10,0.3061284397354581
38,38,50,1.7622869981521412,1.7319419313839386,18,37.41726085642016
39,39,50,1.7793676615452185,1.72488311734441,4,0.0
40,40,50,1.8751568648071575,1.732895093916787,18,0.0
41,41,50,1.8619540549392313,1.731046085065517,11,2.3797354800356216
42,42,50,1.7843170919463986,1.7255552881924188,4,0.0
43,43,50,2.420965856923827,1.7311187240479025,5,0.0
44,44,50,1.7468152132440848,1.7193811417561302,6,24.0116798275364
45,45,50,2.176662270437658,1.7397702450641013,11,0.0
46,46,50,2.153546489159485,1.7383359264869607,2,0.0
47,47,50,1.7961254388311125,1.7250793148147054,6,2.186505669049044
48,48,50,1.9980909709638048,1.7311904881888989,11,1.431249908530712
49,49,50,1.751408199708131,1.7262266772208097,12,22.63221347448812
