fold,seed,inner_cv_rmse,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature
0,0,1.6789033429419642,450,4,0.020270197451201708,5.211445306790129,0.023381763175967574
1,1,1.6918490931476344,450,5,0.019268519217426852,6.444326543719684,0.7959632353462647
2,2,1.6733469002554089,600,5,0.015736860419100707,4.545272024298609,0.15894840067289562
3,3,1.6778396371214641,450,5,0.02169283352575556,5.327124448626436,0.08092581706404427
4,4,1.6838637160527719,600,6,0.01753559627431338,6.622562421979931,0.7262545791808352
5,5,1.6937210647210335,650,6,0.017849037810370404,2.168420723235885,0.10800325650695355
6,6,1.6853789543440238,400,6,0.027291020235568578,8.58425762888394,0.15706397664957994
7,7,1.6849824726504565,750,5,0.013181490228210933,5.970229072824102,0.5088740903864128
8,8,1.6806020230614855,400,5,0.027309567810176287,3.338984541430035,0.14731757091523762
9,9,1.6786897411870587,550,6,0.015275646095808965,4.9199991828971115,0.8704082964265311
10,10,1.66997645777654,800,4,0.01390029423195039,8.704872535663872,0.8240597769084419
11,11,1.6836869188840105,600,5,0.01663481925998399,2.6763061778148156,0.5308089781255391
12,12,1.68246520216608,700,5,0.01507701297514068,2.749378778710651,0.3310024455978887
13,13,1.6924976466848567,300,6,0.0347225338710528,5.381202257151575,0.7731958463065476
14,14,1.6857980157777466,700,7,0.013536356998679083,5.818603236159696,0.7549934354381175
15,15,1.6862168531345005,750,5,0.01770377280874326,7.1065161595890265,0.5698162838271525
16,16,1.6661841601349032,800,6,0.011173960050669762,1.1207155963098216,0.5471360399483575
17,17,1.6806313161214124,650,4,0.014845797264427854,4.834033821269226,0.08611002901656802
18,18,1.6921959259335488,550,6,0.02027637205419525,6.731942965297535,0.9817657891254452
19,19,1.6858466448560243,300,5,0.032160831051437536,5.626883108019498,0.8823682154372277
20,20,1.6735640105658056,650,5,0.017599891352692812,4.916260411719849,0.8435537759239018
21,21,1.6892728273441233,600,5,0.01703115065492102,6.231781000408087,0.9595228050524579
22,22,1.6811856912975578,500,7,0.02061668981004123,1.0909689361714339,0.5847222025831872
23,23,1.6856674656724948,300,5,0.027946245802773856,6.919314893105183,0.07972606145305286
24,24,1.675486651616151,800,5,0.015882005398047173,7.9931906386957685,0.840247719811829
25,25,1.6845061482094152,750,5,0.014113384422767328,2.799018838891687,0.6173687028221588
26,26,1.675920015996909,600,5,0.019489515227357996,2.5391500455170615,0.8667265990372001
27,27,1.6751083732833336,650,6,0.013461633681302564,3.1423989347148207,0.4490844093334184
28,28,1.6887631305268584,650,5,0.01247673886595948,1.195793716507997,0.5311065454930626
29,29,1.6796957716342042,400,6,0.024243553815353307,6.974294926921074,0.2696170856615798
30,30,1.6929057031487869,750,5,0.015341435425074412,4.766375468401252,0.352282399352594
31,31,1.6866183893896878,600,6,0.01390109168985162,7.077024883400982,0.08573060385252651
32,32,1.6837006633401814,700,5,0.01713704285522192,5.814374370839249,0.08067059402383395
33,33,1.6831029945968434,700,4,0.014406769941560425,2.7024755017439905,0.9838369879418211
34,34,1.6722461264806228,700,6,0.015413757990498381,4.993655634753528,0.9409271079661669
35,35,1.6747908047020963,550,6,0.01851757197120991,6.7528815507402555,0.6044539489989418
36,36,1.6902071840784991,750,5,0.012065025725718716,4.921812657443531,0.26931250684945907
37,37,1.6735710721750674,400,5,0.023055483446421603,1.0530246082793067,0.3763398549212996
38,38,1.6870278647364274,450,7,0.023795724089735737,4.206670706485352,0.5788043856368311
39,39,1.6789558867253,650,5,0.01573682239095776,9.242530019263928,0.9281464806945026
40,40,1.6703988960977667,400,5,0.021835856931568823,2.718265400582398,0.9464290948361761
41,41,1.6877818103360318,450,6,0.02003413752040462,3.3120643023097216,0.6975801852947643
42,42,1.687130087565373,450,5,0.020058547553056628,3.7898459799616857,0.16455969921133962
43,43,1.683894410802504,650,6,0.012302127356396459,4.379898241098205,0.6690542252833908
44,44,1.6763679349720273,800,6,0.011464224244514938,2.0211733100797336,0.21789886934652414
45,45,1.6970680963188918,250,6,0.024034129444327895,3.2675517981239968,0.11024132226573247
46,46,1.6757037295654222,550,5,0.018008086987261186,9.406982753021587,0.9634342315853395
47,47,1.6827909962655057,250,5,0.03561587820503832,8.969724120131527,0.7582143679372076
48,48,1.676279368700539,600,6,0.01895287830884259,4.967527903070012,0.24474679076264966
49,49,1.681653982369707,600,6,0.016540788116097976,1.2396422449906594,0.2992261268587022
