fold,seed,inner_cv_rmse,max_depth,min_samples_split,min_samples_leaf
0,0,1.8615925777362292,6,19,19
1,1,1.8574920458798556,7,9,17
2,2,1.8403759844759644,7,18,18
3,3,1.8502732274396017,7,9,19
4,4,1.8535122761589424,7,6,19
5,5,1.8630742986472608,7,9,20
6,6,1.8305284878583357,8,5,20
7,7,1.8587305805437375,16,9,20
8,8,1.8618889379489203,7,14,20
9,9,1.8672763512146413,7,7,19
10,10,1.8183797978421385,21,15,20
11,11,1.8439172682075011,7,7,20
12,12,1.8596386490921037,7,16,19
13,13,1.845939196651901,7,8,19
14,14,1.851501691498282,22,14,20
15,15,1.887697730676642,6,2,8
16,16,1.8365087659093065,6,19,9
17,17,1.8498616749713883,24,2,20
18,18,1.8633627199815095,7,19,15
19,19,1.8518922381569198,7,19,16
20,20,1.8348709070938525,7,3,19
21,21,1.8566858873601209,7,15,18
22,22,1.8547816337997454,7,14,15
23,23,1.8502602981845555,7,17,15
24,24,1.836742209527722,6,9,7
25,25,1.8683027924052928,7,6,17
26,26,1.8526615820157293,9,20,19
27,27,1.8353481338378135,7,8,19
28,28,1.8444975588943948,7,2,19
29,29,1.8484581725592264,7,7,15
30,30,1.854559012123249,8,10,18
31,31,1.8568290035911175,7,15,16
32,32,1.8533535155227507,7,10,19
33,33,1.8229689186142626,8,5,18
34,34,1.827759049849893,25,2,20
35,35,1.8441115211210857,7,4,19
36,36,1.8672440709165887,19,13,20
37,37,1.8471714277680764,6,20,19
38,38,1.8525573686076844,7,10,20
39,39,1.8440418881809009,6,3,18
40,40,1.829473004507023,7,12,19
41,41,1.8188240992986269,7,15,19
42,42,1.8507430338169955,7,14,14
43,43,1.8523729513944076,7,8,19
44,44,1.8505842644138437,7,19,20
45,45,1.8650501118335736,7,9,17
46,46,1.8835409212826513,17,17,20
47,47,1.852124438965515,7,8,20
48,48,1.8621791455239918,25,20,20
49,49,1.8532538633756528,8,11,17
