fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.9238964152392186,1.8615925777362292,3,0.0
1,1,50,2.140539447475472,1.8574920458798556,20,0.6001277449615755
2,2,50,1.9434395078293865,1.8403759844759644,11,13.95362745760388
3,3,50,2.065428853121113,1.8502732274396017,10,0.0
4,4,50,1.8621641053169704,1.8535122761589424,1,0.0
5,5,50,1.892789110556184,1.8630742986472608,26,0.0
6,6,50,1.8571594699452425,1.8305284878583357,11,0.0
7,7,50,2.2830085252886585,1.8587305805437375,12,0.0
8,8,50,1.898634336437419,1.8618889379489203,15,8.327876180867223
9,9,50,2.60069347994752,1.8672763512146413,9,0.0
10,10,50,1.9006744796313224,1.8183797978421385,38,30.292517426068724
11,11,50,1.8692426583653023,1.8439172682075011,12,0.0
12,12,50,1.9309328809559112,1.8596386490921037,2,1.2032949576570167
13,13,50,1.8909183377229724,1.845939196651901,8,0.0
14,14,50,1.8718759543885206,1.851501691498282,12,0.0
15,15,50,2.3400719900903346,1.887697730676642,4,0.0
16,16,50,1.8598813804698608,1.8365087659093065,17,0.0
17,17,50,2.0111889401806464,1.8498616749713883,11,0.0
18,18,50,1.8819376791451272,1.8633627199815095,1,21.48340277536555
19,19,50,2.069162717737139,1.8518922381569198,3,0.0
20,20,50,1.86433766253671,1.8348709070938525,4,0.0
21,21,50,2.250978494485762,1.8566858873601209,10,0.0
22,22,50,1.8670973439498915,1.8547816337997454,1,11.965102880136106
23,23,50,1.8995935975104516,1.8502602981845555,3,0.0
24,24,50,1.857513962958539,1.836742209527722,27,17.878822487333338
25,25,50,2.117658505318253,1.8683027924052928,8,0.0
26,26,50,1.8794224621542153,1.8526615820157293,6,0.0
27,27,50,1.8785360664232624,1.8353481338378135,38,44.276194188503524
28,28,50,2.1718483670802784,1.8444975588943948,4,0.0
29,29,50,2.2786489958216563,1.8484581725592264,8,0.0
30,30,50,1.9030721086049567,1.854559012123249,5,0.0
31,31,50,1.873800621079025,1.8568290035911175,1,0.0
32,32,50,1.9378195741278403,1.8533535155227507,11,2.3264750718241647
33,33,50,1.8351753850521775,1.8229689186142626,1,100.0
34,34,50,2.6224721810225153,1.827759049849893,2,0.0
35,35,50,2.1146633554531125,1.8441115211210857,6,0.0
36,36,50,1.8672440709165887,1.8672440709165887,1,0.0
37,37,50,2.1802130104404176,1.8471714277680764,6,0.13350170804590994
38,38,50,1.8713238684444982,1.8525573686076844,7,31.86734006349374
39,39,50,1.883994909836582,1.8440418881809009,11,0.0
40,40,50,1.8628730732133412,1.829473004507023,8,0.0
41,41,50,1.8800972617962746,1.8188240992986269,50,36.56731639332176
42,42,50,1.8958932455573383,1.8507430338169955,4,0.0
43,43,50,2.054545338317691,1.8523729513944076,2,0.0
44,44,50,1.9066296192837675,1.8505842644138437,9,0.0
45,45,50,2.130258701019854,1.8650501118335736,9,0.0
46,46,50,2.129294011608037,1.8835409212826513,2,0.0
47,47,50,2.078270053329094,1.852124438965515,6,1.3098334944260939
48,48,50,2.57637365714845,1.8621791455239918,7,0.0
49,49,50,1.8568055188778172,1.8532538633756528,1,1.770996716010237
