fold,seed,inner_cv_rmse,alpha,l1_ratio
0,0,1.7138653234239425,0.011304478325001055,0.9355125616229015
1,1,1.727349486507793,0.01698266725973444,0.8942456714593869
2,2,1.7095245855980419,0.014618459991716336,0.990804692379509
3,3,1.7142147796608076,0.019936875676349126,0.9501024579121709
4,4,1.723227532186258,0.021286151192911773,0.8611274238278539
5,5,1.7268224925623894,0.020478627423039575,0.8482019399018952
6,6,1.7186531837029624,0.0223788512747132,0.9324027496294477
7,7,1.7219012390693211,0.007389176597130522,0.9428555211144443
8,8,1.7167676399163774,0.01701781478330869,0.9358589544433656
9,9,1.7104636533853497,0.022179021761954763,0.8728871556686075
10,10,1.708962418676561,0.010865821504145803,0.9866517717189851
11,11,1.7171832900838404,0.01857674114535185,0.9539848352353627
12,12,1.718687147596563,0.028756692065635678,0.9882030865593006
13,13,1.7226216828013516,0.016818594629366905,0.9508190472330449
14,14,1.7238869166364874,0.03077367796827828,0.9829578919041125
15,15,1.7180995265756998,0.023199900464987763,0.9988130049525663
16,16,1.7090063452879414,0.02991206037255249,0.9949895850381187
17,17,1.7156626595427205,0.016095102937233,0.9432375918042317
18,18,1.7209041961000218,0.01465976827063024,0.9938241942721652
19,19,1.7248165452115085,0.006319539628094179,0.9290695416390355
20,20,1.713525700647581,0.026239507099357493,0.8402052610995541
21,21,1.7270881691115192,0.022081527526725427,0.9920935109203753
22,22,1.7265774853024651,0.03002496964786641,0.9929914113065601
23,23,1.71568378000534,0.02171866059097963,0.9985375389744697
24,24,1.7077352380515827,0.018900552612084644,0.9912206295907561
25,25,1.720914792067667,0.022265381372302544,0.9949043267222579
26,26,1.7152986667334105,0.02099545409708163,0.9997598435244854
27,27,1.7096259872361723,0.00983251670796953,0.9442271143315037
28,28,1.7282311208787857,0.014906493439195085,0.9207409864102314
29,29,1.716041708194077,0.014280659969799908,0.791218023932
30,30,1.7226420941365994,0.012468034093476498,0.9548236143111484
31,31,1.7224153425468987,0.026409045321078146,0.77966336259295
32,32,1.7172398030976788,0.02350635378793752,0.8960502951558561
33,33,1.7188256450184187,0.022341290275830622,0.9483752550116763
34,34,1.7073543463679879,0.010912454718071575,0.8852733735091631
35,35,1.7098016213972762,0.01941741983108512,0.8677030821373031
36,36,1.7253696978740027,0.020844332513989074,0.955529405833031
37,37,1.7137217441924464,0.016498490798613777,0.9634653524074657
38,38,1.727202866718358,0.015670410792889944,0.9063139628395983
39,39,1.7134560948404132,0.03498528419491998,0.9892689942678066
40,40,1.7127899219300264,0.008330736337825046,0.8876767150877258
41,41,1.7203165533120781,0.025581675672163337,0.9250821530449387
42,42,1.7196870084875566,0.024857008776576896,0.9686936438959612
43,43,1.7198069765117605,0.016420887202410733,0.9646585787016595
44,44,1.7167828897063473,0.019891177039438677,0.9276508378619028
45,45,1.7290714293666447,0.01817533902194585,0.9530542327614964
46,46,1.716297166070071,0.030608318629551434,0.91663678932704
47,47,1.7161380954666434,0.03405553363729779,0.9998316083206102
48,48,1.7159453288287279,0.021375850964118866,0.924212735332255
49,49,1.7138240347484122,0.02674706155298775,0.9909728464665106
