fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7180249696030383,1.7138653234239425,1,0.0
1,1,50,1.7275055915685198,1.727349486507793,1,0.0
2,2,50,1.7110447290392474,1.7095245855980419,1,0.0
3,3,50,1.7176449018890172,1.7142147796608076,1,2.7289849588049195
4,4,50,4.0393929919088105,1.723227532186258,5,0.0
5,5,50,1.7281156336215584,1.7268224925623894,1,0.0
6,6,50,3.310924508957578,1.7186531837029624,3,0.003674972437838308
7,7,50,1.7222201528727943,1.7219012390693211,1,0.3674341283767977
8,8,50,3.5528807347535065,1.7167676399163774,3,0.0017677481415987097
9,9,50,1.7126345534327605,1.7104636533853497,1,0.0
10,10,50,2.1909206682710467,1.708962418676561,3,0.0
11,11,50,1.7189512987243005,1.7171832900838404,1,0.0
12,12,50,1.7208123363219787,1.718687147596563,1,39.35199287415613
13,13,50,2.2205189030684602,1.7226216828013516,4,0.011500526071009114
14,14,50,1.7247439546087329,1.7238869166364874,1,14.429868638866203
15,15,50,2.7925892787243414,1.7180995265756998,2,0.008510184549925243
16,16,50,1.7109121242903005,1.7090063452879414,1,10.612657006555398
17,17,50,1.716585771307728,1.7156626595427205,1,0.0
18,18,50,1.7669182963847128,1.7209041961000218,5,0.5178363929845796
19,19,50,1.724961387794546,1.7248165452115085,1,0.0
20,20,50,1.720193609497541,1.713525700647581,1,0.0
21,21,50,1.7283813596262738,1.7270881691115192,1,0.0
22,22,50,1.728399366048795,1.7265774853024651,1,0.0
23,23,50,1.7164221461749893,1.71568378000534,1,13.766255247510005
24,24,50,4.070544514487423,1.7077352380515827,3,0.0
25,25,50,3.195937406549997,1.720914792067667,2,0.0
26,26,50,1.7162428993186267,1.7152986667334105,1,2.607309137281367
27,27,50,1.709706165279547,1.7096259872361723,1,11.037732323753175
28,28,50,1.9328731999305913,1.7282311208787857,2,0.14681938307398928
29,29,50,2.9541444347149137,1.716041708194077,2,0.027444807778775136
30,30,50,1.7697741083525997,1.7226420941365994,5,0.04918039335945339
31,31,50,1.7239091623957479,1.7224153425468987,1,0.0
32,32,50,2.9460513983884917,1.7172398030976788,2,0.0
33,33,50,1.7202960226925454,1.7188256450184187,1,9.122508734362686
34,34,50,1.7076626129090922,1.7073543463679879,1,4.823281549810072
35,35,50,1.7109751501087742,1.7098016213972762,1,6.568063088134298
36,36,50,1.9232218627861806,1.7253696978740027,4,0.023844826103051112
37,37,50,3.9345236791526625,1.7137217441924464,2,0.0
38,38,50,1.7275844939644909,1.727202866718358,1,0.0
39,39,50,1.7153803210114724,1.7134560948404132,1,29.67823742136199
40,40,50,1.7136919734121965,1.7127899219300264,1,24.187460770776195
41,41,50,1.7228969204477704,1.7203165533120781,1,0.0
42,42,50,1.7206081597779321,1.7196870084875566,1,0.0
43,43,50,1.7205591496825101,1.7198069765117605,1,11.906174506040157
44,44,50,2.651853788619966,1.7167828897063473,3,0.0493457015710585
45,45,50,4.0182009949798045,1.7290714293666447,2,0.0018071786816478486
46,46,50,2.2134789976507916,1.716297166070071,2,0.0064455270453238345
47,47,50,1.7178635102855406,1.7161380954666434,1,21.420123713451634
48,48,50,1.7170079613378537,1.7159453288287279,1,16.590717127249206
49,49,50,1.7164074498648687,1.7138240347484122,1,0.0
