fold,seed,inner_cv_rmse,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
0,0,1.7072103756670611,600,21,17,14,0.8948146339778803
1,1,1.7154615881035427,500,25,7,14,0.9134724066072268
2,2,1.6953432465090958,450,18,2,8,0.7189391090383848
3,3,1.6996737923866152,350,15,12,9,0.7945857790388317
4,4,1.7071773550119367,400,25,4,11,0.7573002757232841
5,5,1.723252523591038,550,22,2,8,0.7509054825547548
6,6,1.704708668607936,250,15,12,14,0.9234961634028339
7,7,1.7078619844522827,550,15,10,11,0.7875478218420698
8,8,1.7026664161348442,450,21,19,3,0.675101310230484
9,9,1.6994399347985065,600,25,14,7,0.6501817397270567
10,10,1.6950829964496523,500,24,8,8,0.8467081201514658
11,11,1.7110843501682589,600,17,18,18,0.965991850339601
12,12,1.7040613502395225,350,21,16,10,0.8908411679338388
13,13,1.7103912209498198,250,24,8,9,0.7477996792993826
14,14,1.7107087964790726,300,11,5,8,0.7937381705949671
15,15,1.7054594785578008,500,13,17,8,0.8133299332693904
16,16,1.6906939266479242,400,13,15,10,0.8015617559130078
17,17,1.7047432770424826,450,25,4,11,0.8934687338094145
18,18,1.714378245135832,200,23,6,13,0.9129885825212063
19,19,1.7111835106009383,450,13,9,14,0.9245700515845217
20,20,1.6963746858431699,400,18,3,8,0.6635328197886703
21,21,1.7102198931530033,600,13,16,9,0.8497294994704883
22,22,1.7059203149584803,250,16,9,11,0.7435229398291685
23,23,1.7043065679418106,350,12,6,8,0.7210963215227152
24,24,1.7012716896325362,450,21,3,9,0.7323649078797085
25,25,1.7107405014499875,400,21,6,11,0.7212478136613154
26,26,1.696696231191607,300,21,6,9,0.7800807756350587
27,27,1.7008929464781697,600,20,9,11,0.8408719273384225
28,28,1.7113366138451966,350,17,18,10,0.7198593999372411
29,29,1.7019277391251368,300,19,7,11,0.7758431023359348
30,30,1.717128946440979,150,24,7,15,0.8511587660572879
31,31,1.7129375393048112,300,16,20,12,0.7445347263931883
32,32,1.7043249422157576,500,20,7,13,0.8841519695855997
33,33,1.7051547746461462,300,17,6,16,0.9965316687548058
34,34,1.6927563972394648,450,21,6,8,0.7639924214328334
35,35,1.6959679152114284,450,20,16,3,0.6787564931967691
36,36,1.7150399259804534,550,23,15,9,0.747479684664387
37,37,1.6944558572853103,450,22,3,12,0.8447795760432302
38,38,1.710639036255858,400,19,9,11,0.7659083028752339
39,39,1.7006294546542615,500,23,20,10,0.80772081657924
40,40,1.693334065491078,350,17,17,9,0.8336033319938889
41,41,1.7083634309159639,600,23,13,11,0.8406488265455888
42,42,1.709272976528375,600,17,20,1,0.7128796896891529
43,43,1.706281088826381,500,11,3,9,0.7354674858280864
44,44,1.7006093994016305,500,13,10,9,0.7730325869068637
45,45,1.717872402347222,550,17,20,10,0.7328061384971507
46,46,1.7038548786629935,200,15,9,12,0.7506654989360764
47,47,1.704231880032303,200,23,15,17,0.9353842395308073
48,48,1.703752806681761,600,11,19,1,0.7595949606453926
49,49,1.703596977003885,250,17,8,9,0.8504383831320769
