fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7143506157664437,1.7072103756670611,1,0.0
1,1,50,1.7904456384097571,1.7154615881035427,5,0.0
2,2,50,2.2641269106717323,1.6953432465090958,8,0.0
3,3,50,1.7013297734287467,1.6996737923866152,1,0.0
4,4,50,1.7098538241493877,1.7071773550119367,1,0.0
5,5,50,1.750216577872542,1.723252523591038,4,0.0
6,6,50,1.7992959036506826,1.704708668607936,2,0.0
7,7,50,1.70912739662548,1.7078619844522827,1,24.063584622669566
8,8,50,1.751586185361679,1.7026664161348442,2,0.0
9,9,50,1.7485131044908169,1.6994399347985065,2,0.0
10,10,50,2.217415567922034,1.6950829964496523,3,0.0
11,11,50,2.270017020358973,1.7110843501682589,6,0.050212604943528596
12,12,50,1.8922804934496562,1.7040613502395225,6,0.0
13,13,50,1.7218755953550544,1.7103912209498198,1,0.0
14,14,50,1.7173391340388235,1.7107087964790726,1,4.466102398606753
15,15,50,1.8660827355262597,1.7054594785578008,3,0.0
16,16,50,1.6974648384902786,1.6906939266479242,1,0.930429090481698
17,17,50,1.7282644360423962,1.7047432770424826,2,2.094623011601008
18,18,50,1.7253193390317059,1.714378245135832,1,0.13313928923819024
19,19,50,1.7232842251302032,1.7111835106009383,1,0.0
20,20,50,1.9381767412891502,1.6963746858431699,3,0.5784136232989721
21,21,50,1.7761299182000503,1.7102198931530033,2,0.3482472294148915
22,22,50,1.8475210755278924,1.7059203149584803,2,0.16233562976357735
23,23,50,1.732492400226286,1.7043065679418106,3,1.7251244258487313
24,24,50,1.71233099705159,1.7012716896325362,1,5.872169695354386
25,25,50,1.716886055975246,1.7107405014499875,1,14.966951756045486
26,26,50,1.6985121522098456,1.696696231191607,1,44.509389912516134
27,27,50,1.7552768407641821,1.7008929464781697,2,0.15976861043003837
28,28,50,1.7129853850481762,1.7113366138451966,1,0.0
29,29,50,1.7350091041146605,1.7019277391251368,2,0.0
30,30,50,1.727719117708732,1.717128946440979,1,8.31726425467582
31,31,50,1.7936008779995056,1.7129375393048112,4,0.0
32,32,50,1.7108878095020148,1.7043249422157576,1,0.0
33,33,50,1.7113528388204824,1.7051547746461462,1,0.0
34,34,50,1.8978205174428215,1.6927563972394648,2,0.23730679883468545
35,35,50,1.6982225738013994,1.6959679152114284,1,0.0
36,36,50,1.7236292012539152,1.7150399259804534,1,5.004013250172869
37,37,50,1.6976686663754115,1.6944558572853103,1,0.0
38,38,50,1.7151669033606276,1.710639036255858,1,5.154403816706722
39,39,50,1.704844363350236,1.7006294546542615,1,0.0
40,40,50,2.0601973273954153,1.693334065491078,2,0.0
41,41,50,2.3037961118530097,1.7083634309159639,6,0.012196188809519146
42,42,50,1.8190308101694626,1.709272976528375,11,0.0
43,43,50,1.7135967086100314,1.706281088826381,1,17.51153076015835
44,44,50,1.9781705436785466,1.7006093994016305,2,0.0
45,45,50,1.7270699906802984,1.717872402347222,1,0.0
46,46,50,1.7414145209484484,1.7038548786629935,6,0.5152631071929983
47,47,50,1.7074965772188704,1.704231880032303,1,0.0
48,48,50,1.712014503817874,1.703752806681761,1,0.0
49,49,50,1.7268099932586516,1.703596977003885,2,0.0
