fold,seed,inner_cv_rmse,n_estimators,max_depth,learning_rate,subsample,min_samples_leaf
0,0,1.6937201106129955,450,4,0.012792476142080858,0.8862250926961924,25
1,1,1.7048140289557292,500,4,0.010041438276465526,0.6275177336840733,10
2,2,1.6829795423991112,300,4,0.02141941149666015,0.6913024046892902,20
3,3,1.6871226628690557,300,4,0.018751469590343964,0.8406145537095977,24
4,4,1.6912672616386328,600,5,0.00798977987464764,0.542191879859988,20
5,5,1.7066301838189517,350,3,0.025288535283541663,0.68449836844522,5
6,6,1.6872997030351116,400,4,0.013196203582402337,0.586568954182251,20
7,7,1.696075214095475,450,5,0.010622818880801514,0.6798377619080345,8
8,8,1.6901447481048817,350,4,0.014855439322171093,0.6259835360881242,5
9,9,1.6934160595615544,400,4,0.014670297292988538,0.7321045693297095,28
10,10,1.6828741307009174,100,4,0.05841542408656452,0.7792373214314621,9
11,11,1.6932239538859346,350,4,0.014712468471629835,0.5377570590703611,24
12,12,1.6916043489672945,350,4,0.02047043955571117,0.5776074156100145,10
13,13,1.6984722066136384,450,4,0.012276604838011339,0.7409006690118183,25
14,14,1.6959850549988857,550,4,0.011255982910172041,0.7113580051618917,14
15,15,1.6950745772873055,450,4,0.012863368620446774,0.7167237088247448,21
16,16,1.6769886699286054,450,4,0.013053688732859916,0.6272755305112513,8
17,17,1.6887665675438146,450,4,0.011649513834946333,0.6070584558825638,5
18,18,1.7040370148555202,550,3,0.012221057278710276,0.6704843724071681,24
19,19,1.6926141277662006,400,4,0.014309321834538608,0.5982052374755815,3
20,20,1.679807666659648,350,4,0.0184043216082662,0.6318144143300284,10
21,21,1.7002421041435152,550,4,0.009116093230306852,0.5944487287581891,15
22,22,1.686292973343376,250,4,0.022370285511826942,0.5024658329610671,24
23,23,1.697503809588421,450,3,0.011958858292499515,0.5288486193160025,17
24,24,1.687453562027478,350,3,0.019261256691633463,0.8555130135746284,24
25,25,1.6983117086705988,500,3,0.021403070220905714,0.6779048575724856,17
26,26,1.687776183402411,250,3,0.02733088976994064,0.7306620766622951,13
27,27,1.6884034700492367,350,3,0.02179459567196376,0.6520267076979999,11
28,28,1.6891383702635316,350,4,0.014588644912823015,0.5263211617753888,30
29,29,1.6908043197956157,250,4,0.028427030916384845,0.8906059523406351,25
30,30,1.7078650342231025,600,4,0.01020703003918104,0.5916182573546661,1
31,31,1.7003319638511694,400,3,0.020637706664803773,0.6597176189808223,23
32,32,1.691019770376715,300,4,0.019279152634215355,0.6819106443248126,20
33,33,1.6882138982999457,550,4,0.012144081349258285,0.6186667804447333,27
34,34,1.6828052765480563,400,4,0.011536039736760727,0.6237802246010541,11
35,35,1.685649264773195,450,3,0.021828799128047274,0.6395931497380447,27
36,36,1.7044597029092394,550,3,0.018097137820407456,0.6406106939528754,24
37,37,1.6843200570975125,350,4,0.014562543192621836,0.722137908470125,18
38,38,1.699170137686534,250,4,0.02743309973906355,0.545040796434321,13
39,39,1.6879600560156258,550,4,0.0094430364556334,0.8211958052840729,29
40,40,1.677346490198035,600,4,0.008433665036031776,0.5413131246828283,30
41,41,1.7011483655219783,400,4,0.010250540153198867,0.5392537811861811,11
42,42,1.6930462687488679,300,4,0.01619425516176465,0.6623708588947927,11
43,43,1.6956195885657697,500,5,0.00754186221923482,0.5021446370562148,29
44,44,1.6847241168964182,300,3,0.02223420375223879,0.6728000197944134,30
45,45,1.7108097018582324,250,4,0.01799680804687454,0.6965185355940523,4
46,46,1.685916689954195,300,4,0.017039456170050538,0.672410642950262,19
47,47,1.688262489117244,600,3,0.012038288251108689,0.5435975956965724,10
48,48,1.6857985585555884,500,4,0.010033328674683888,0.527486186053354,12
49,49,1.6927311789926502,450,3,0.016313117211550168,0.6142568709671133,22
