fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7463326665355683,1.6937201106129955,4,1.5606655096532591
1,1,50,3.2155689027194634,1.7048140289557292,4,0.051185237508510284
2,2,50,1.6976040653529012,1.6829795423991112,1,6.5758465104361035
3,3,50,1.7583673287396837,1.6871226628690557,3,0.0
4,4,50,1.9139870379327142,1.6912672616386328,11,2.086017004236221
5,5,50,2.5866935205434407,1.7066301838189517,7,0.8846064510584188
6,6,50,1.8257765167407154,1.6872997030351116,2,0.0
7,7,50,2.028104356491739,1.696075214095475,4,1.1164597560705578
8,8,50,1.8599181182862616,1.6901447481048817,15,0.0
9,9,50,1.8498047440606995,1.6934160595615544,9,0.112874384831406
10,10,50,1.6926431444520336,1.6828741307009174,1,0.0
11,11,50,2.046770480485089,1.6932239538859346,11,0.4642205645405685
12,12,50,2.5513491638749115,1.6916043489672945,4,0.0
13,13,50,1.7721391813341802,1.6984722066136384,10,4.002268665013282
14,14,50,1.9164777034250158,1.6959850549988857,2,0.8883451632035992
15,15,50,2.6586956831906434,1.6950745772873055,6,0.016124857536240374
16,16,50,1.682748367546942,1.6769886699286054,1,27.263487589739675
17,17,50,2.478233979130051,1.6887665675438146,32,0.6733486850237925
18,18,50,1.8749696920341539,1.7040370148555202,13,0.0
19,19,50,2.6343748196429693,1.6926141277662006,3,0.0
20,20,50,1.8197566842697674,1.679807666659648,2,0.0
21,21,50,1.7064979699507696,1.7002421041435152,1,49.155693485462734
22,22,50,1.7618644502383618,1.686292973343376,2,0.0
23,23,50,1.8290625541959393,1.697503809588421,12,2.0229741100610346
24,24,50,2.0106755688556124,1.687453562027478,4,0.0
25,25,50,1.7267564186664839,1.6983117086705988,6,0.0
26,26,50,1.7397358710990125,1.687776183402411,12,0.0
27,27,50,1.766003142765205,1.6884034700492367,5,0.0
28,28,50,2.204472278255735,1.6891383702635316,21,0.0
29,29,50,2.54918803233306,1.6908043197956157,4,0.21155336790438337
30,30,50,1.7388008863759659,1.7078650342231025,7,2.210107063101699
31,31,50,1.8096127068060048,1.7003319638511694,3,1.602681818794292
32,32,50,1.7091603668028612,1.691019770376715,3,32.452674098664474
33,33,50,1.7698886708181725,1.6882138982999457,5,1.5552361010790945
34,34,50,3.5285792354523893,1.6828052765480563,12,0.0
35,35,50,2.0581006818329177,1.685649264773195,23,0.22949558264568096
36,36,50,2.0003206829831033,1.7044597029092394,5,0.0
37,37,50,1.8212801751998793,1.6843200570975125,6,0.6356592409857738
38,38,50,1.9053125246203066,1.699170137686534,3,0.0
39,39,50,1.853488092910204,1.6879600560156258,2,0.6791739258834152
40,40,50,1.706108886874023,1.677346490198035,10,0.0
41,41,50,1.7128914241705793,1.7011483655219783,1,0.0
42,42,50,1.7870369401414608,1.6930462687488679,4,4.302579361693546
43,43,50,3.162319223802414,1.6956195885657697,12,0.3105640864292158
44,44,50,1.7130692816527269,1.6847241168964182,2,0.0
45,45,50,1.720540260978383,1.7108097018582324,1,0.0
46,46,50,1.7763222220745853,1.685916689954195,6,2.5894358023233677
47,47,50,1.754059367203196,1.688262489117244,12,3.7811865555416224
48,48,50,2.812789271719074,1.6857985585555884,4,0.2557470501964518
49,49,50,1.763958705061535,1.6927311789926502,3,0.0
