fold,seed,inner_cv_rmse,max_iter,max_depth,learning_rate,l2_regularization,max_leaf_nodes,min_samples_leaf
0,0,1.6982117436831814,400,2,0.03991851164927406,0.0038093120476496464,143,14
1,1,1.7143228356429419,300,3,0.040986698295275494,0.014808142242569662,82,52
2,2,1.6911572069829621,300,3,0.033192959620044066,2.2071701902923397,231,8
3,3,1.7033106195291947,550,7,0.008643409105533632,0.013703916978727271,100,57
4,4,1.7004905510397959,250,4,0.021156469602558195,1.835838168034424e-08,231,34
5,5,1.712313921052246,150,3,0.050732406198003475,1.792073524834701e-05,96,28
6,6,1.697055932536315,400,7,0.01574254656060009,0.21110401716288918,15,42
7,7,1.7042387451667882,550,4,0.012241326383895947,8.948872920132045,131,33
8,8,1.6965501085903258,250,11,0.02503725404687509,0.0001086038155366282,17,44
9,9,1.705547825694206,250,2,0.0520195435275348,3.166353804286557,110,5
10,10,1.6845028381717326,350,4,0.017363893473016177,1.9941836361067223e-05,227,44
11,11,1.7029724049469313,500,3,0.019867923428728406,5.306831300415543e-05,156,40
12,12,1.6985422346122252,350,4,0.018687901317070016,1.0708937867981429e-07,30,57
13,13,1.710390445437954,100,4,0.05811479427639498,8.34139040449873e-06,81,43
14,14,1.7077859026816378,300,3,0.02219500668344962,9.225310157089003e-05,225,20
15,15,1.7009039773353387,450,8,0.013437568113694589,3.335032846978235e-08,15,23
16,16,1.6889290126319476,500,3,0.016482527765348875,1.0483208491035303,79,19
17,17,1.6970637255649361,300,3,0.025351565283977855,0.02794946041827748,132,46
18,18,1.7117364603796634,500,4,0.012306886755110505,5.504233199070305e-05,81,32
19,19,1.703351230411202,200,6,0.033930515832652185,4.901634588742524e-06,15,60
20,20,1.6894922311548257,600,3,0.01488543677215431,0.0003555072751100736,74,34
21,21,1.709900266779655,150,4,0.04845298034872329,3.256407093719046e-05,98,57
22,22,1.6975077962971792,250,4,0.018693579544513853,8.695883442891585e-05,118,15
23,23,1.7079054805816944,600,3,0.011075050517523609,1.3134240408724308e-05,224,29
24,24,1.6871091351071652,450,4,0.014091225416606186,5.2820361394438795e-05,134,57
25,25,1.7029490797403146,550,4,0.010912878647556492,4.680554900984884e-06,169,58
26,26,1.6919540911895166,300,4,0.019740835880541454,1.8557825589374485e-05,180,52
27,27,1.6956958757030693,250,6,0.020735476031163578,5.076862465055382e-07,16,26
28,28,1.6999512885319288,450,4,0.016104778006373846,0.00019009993752502105,60,57
29,29,1.6923033997280732,500,10,0.009860974054454774,2.93510249447403e-06,15,50
30,30,1.717241429921481,200,4,0.034107070361620605,3.092813127264,194,35
31,31,1.7088684303713813,350,4,0.01764237237885395,4.581939962114917e-06,214,56
32,32,1.699760716235192,150,4,0.042938248645184196,0.00024186225803331292,214,59
33,33,1.693260930797792,600,4,0.010587153406334334,5.18322270478999e-08,254,31
34,34,1.6913426851610116,400,5,0.010971863002552054,1.3274516224926543e-06,249,37
35,35,1.6863730638781753,600,4,0.008405670129530652,0.0006465795647584373,103,36
36,36,1.7092654361406765,200,4,0.03630761188132149,1.9635786160125506e-08,243,55
37,37,1.691260765638798,300,3,0.023900744738269347,1.298406047439126e-07,221,48
38,38,1.7095268812937072,300,4,0.02459159549463738,0.0019083084815916104,136,24
39,39,1.6970724821367298,350,4,0.021295294735475107,0.03209912963755381,104,41
40,40,1.6860332952333745,500,3,0.014740861522515511,1.8289848886926743,104,45
41,41,1.7116380181523294,200,4,0.022123921502246673,1.0071465932216363e-08,39,12
42,42,1.701718894401779,350,3,0.022085274332672385,0.14976931900419116,79,21
43,43,1.7031173984588055,300,3,0.022309057872306394,0.00024897507318728655,46,32
44,44,1.690905252559066,600,3,0.016248791516325755,1.0363909645913274e-06,68,20
45,45,1.7152915608209711,550,3,0.014240356061077203,2.153521679066541e-06,226,31
46,46,1.6898540331664147,550,4,0.011788235184811506,2.6382802000214014e-05,115,26
47,47,1.6997806288343713,250,4,0.022613819107750233,9.408550764270721e-05,215,49
48,48,1.7022741142350781,550,5,0.00989407730239625,0.003681672342241062,199,28
49,49,1.7053728377836368,400,2,0.035907873850177595,0.08270549056279197,92,6
