fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7499793350580481,1.6982117436831814,8,0.0
1,1,50,3.2235589603135324,1.7143228356429419,4,0.013291638382980697
2,2,50,1.7074447557851389,1.6911572069829621,1,12.236210406688901
3,3,50,1.767422365742497,1.7033106195291947,17,4.9636963796564215
4,4,50,1.887689148277196,1.7004905510397959,17,0.0
5,5,50,2.619269835831152,1.712313921052246,6,0.0
6,6,50,1.8068162333310602,1.697055932536315,16,0.0
7,7,50,2.0337408323699644,1.7042387451667882,4,0.6657083797551073
8,8,50,1.8100564431270594,1.6965501085903258,2,0.0
9,9,50,1.853908940700548,1.705547825694206,3,0.0
10,10,50,1.6904756395098055,1.6845028381717326,1,0.0
11,11,50,2.0536307357301977,1.7029724049469313,4,0.0
12,12,50,2.6232516512595416,1.6985422346122252,7,0.28669911928133146
13,13,50,1.8051475633005203,1.710390445437954,6,0.0
14,14,50,1.8415713454602745,1.7077859026816378,2,0.0
15,15,50,2.6662747459214318,1.7009039773353387,13,0.0
16,16,50,1.7281032325880752,1.6889290126319476,5,0.0
17,17,50,2.452112807700609,1.6970637255649361,7,0.0753939031573385
18,18,50,1.8810704764461128,1.7117364603796634,7,0.0
19,19,50,2.6377314336359725,1.703351230411202,8,0.0
20,20,50,1.8475975292059819,1.6894922311548257,17,1.4382547192880055
21,21,50,1.726713451600028,1.709900266779655,1,0.0
22,22,50,1.7640703295075877,1.6975077962971792,7,0.0
23,23,50,1.8233708652762606,1.7079054805816944,2,0.0
24,24,50,1.914878650275075,1.6871091351071652,10,0.0
25,25,50,1.7635486003930372,1.7029490797403146,4,0.0
26,26,50,1.7813485275673113,1.6919540911895166,7,1.6782666394387693
27,27,50,1.7679508267734607,1.6956958757030693,8,0.0
28,28,50,2.1708130583111163,1.6999512885319288,11,0.07758718158647038
29,29,50,2.3835840862159956,1.6923033997280732,24,0.0
30,30,50,1.7777976353222402,1.717241429921481,4,0.0
31,31,50,1.791861679253876,1.7088684303713813,16,1.7000945865333612
32,32,50,1.7291907324228841,1.699760716235192,12,7.388536196124699
33,33,50,1.7766180584145026,1.693260930797792,9,0.0
34,34,50,3.557353168923092,1.6913426851610116,4,0.0
35,35,50,2.0153064246094954,1.6863730638781753,5,1.185997424855491
36,36,50,1.9356297763308574,1.7092654361406765,2,0.0
37,37,50,1.8153602022425805,1.691260765638798,6,0.0
38,38,50,1.8937504708843544,1.7095268812937072,9,0.19267922966606668
39,39,50,1.8373282787533658,1.6970724821367298,20,0.0
40,40,50,1.7037146817351363,1.6860332952333745,7,29.280018158546532
41,41,50,1.7141708127803816,1.7116380181523294,1,0.0
42,42,50,1.773460099901333,1.701718894401779,2,2.122085200841318
43,43,50,3.162821956025481,1.7031173984588055,15,0.0
44,44,50,1.7298246429707802,1.690905252559066,9,0.0
45,45,50,1.752736000566793,1.7152915608209711,4,1.3794284950326268
46,46,50,1.7787684362131722,1.6898540331664147,7,0.0
47,47,50,1.7495476638907985,1.6997806288343713,3,0.0
48,48,50,2.812513026701523,1.7022741142350781,13,0.046297616500460326
49,49,50,1.7896297444639866,1.7053728377836368,9,0.0
