fold,seed,inner_cv_rmse,alpha,epsilon
0,0,1.714582735629886,0.9910014951706371,2.6151787132490423
1,1,1.7282603946942767,0.9467809416895137,2.8776209987100403
2,2,1.7103362341352262,3.390696470087715e-05,2.790019749523017
3,3,1.715387601358889,0.9724302405452836,2.957319891675036
4,4,1.7246178774394374,0.6841466347789015,2.1397412734338728
5,5,1.7282514350150315,0.9906154349999144,2.791855657168076
6,6,1.7198981470116763,0.4204711834997554,2.5061732236849896
7,7,1.722229828647539,0.8258271071072208,2.5119684713286583
8,8,1.7183667071863067,0.9900657246349367,2.6692804812667674
9,9,1.7126424812636685,0.7732291018628786,2.623150505216348
10,10,1.7093177968542186,0.9801172726778569,2.9981876686569113
11,11,1.7189561881585818,0.9847530071748545,2.5260815159801315
12,12,1.7209190683200348,0.9917727475742295,2.6895532857554
13,13,1.7242306699293177,0.9631251423597477,2.123483933967279
14,14,1.7259300140834308,0.9558608615433343,2.4961333068654916
15,15,1.7197239608137604,0.9988043995128879,2.731743572752236
16,16,1.7110629234840093,0.9459464770898971,2.563698954444529
17,17,1.716788585142488,0.9739311232987714,2.741540566510197
18,18,1.7215434389359292,0.9302013575977529,2.3094156059437907
19,19,1.7249730108077532,0.9847187023271403,2.3957601200290406
20,20,1.7158707683609946,0.9733104689624161,2.754140441465728
21,21,1.7283839420384084,0.9906716758003886,2.6018410891996306
22,22,1.7284731207027733,0.9581796109864953,2.988975165609887
23,23,1.7167664194944254,0.6769140549980655,2.8940580946409558
24,24,1.7089058515204432,0.0466278849588251,2.4485590677036586
25,25,1.722556016021199,0.9965229226678233,2.5440525290580274
26,26,1.716477991886931,0.958941344979204,2.4988275312386214
27,27,1.7099546173346947,0.001299880583978593,2.8931721451580645
28,28,1.7295330530994086,0.9821711696967157,2.9224372872876607
29,29,1.717009190040359,0.9340384093359461,2.464124309730689
30,30,1.7231598894691138,0.005505213827736257,2.7715837628257813
31,31,1.7244790138625814,0.9859419881203034,2.9981793083030595
32,32,1.7186679788185972,0.9477369484194083,2.433975975658935
33,33,1.7204327934393042,0.017766278491440208,2.6862267142864624
34,34,1.7076704640851859,0.00031882935380006435,2.928168289868716
35,35,1.7106540402339079,0.0002937031089306718,2.3893734262462587
36,36,1.7263063551922966,0.9856475952163957,2.6343623943922427
37,37,1.714785764761467,0.9023004953865303,2.910523867928739
38,38,1.7282820657854074,0.526015060845947,2.435367297860386
39,39,1.7152587211618608,0.9725723435539169,2.8841386627499923
40,40,1.713399599044458,0.22426173705049116,2.7625467797445573
41,41,1.722916019375311,0.9830237053591894,2.271055723055533
42,42,1.7218283103894916,0.9870464353169672,2.206810270107489
43,43,1.7205765118284095,0.9699929237933069,2.5942965973795347
44,44,1.7174296496352746,0.8772258974051802,2.6748608946832313
45,45,1.7300540310163963,0.955660519084471,2.654858865194112
46,46,1.7184873728686747,0.8827337588280377,2.1435638212855617
47,47,1.7179126286204778,0.9668528294371322,2.368343404804123
48,48,1.7170197522266026,0.9886083952567779,2.876077731212293
49,49,1.716615305641961,0.9859548158203237,2.531374028784807
