fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7145859274270674,1.714582735629886,1,0.0
1,1,50,1.7282642986426506,1.7282603946942767,1,0.0
2,2,50,1.7181843508791066,1.7103362341352262,1,0.0
3,3,50,1.7153885409807696,1.715387601358889,1,0.0
4,4,50,1.7246178774394374,1.7246178774394374,1,0.0
5,5,50,1.72825327705035,1.7282514350150315,1,0.03428811657560493
6,6,50,1.7202508658250022,1.7198981470116763,1,0.19839695660494408
7,7,50,1.7222346459082718,1.722229828647539,1,29.916288633874476
8,8,50,1.7183697526863142,1.7183667071863067,1,0.0
9,9,50,1.7126564925435563,1.7126424812636685,1,0.0
10,10,50,1.7188896109540264,1.7093177968542186,1,0.0
11,11,50,1.728529600431744,1.7189561881585818,1,0.0
12,12,50,1.7209240107451926,1.7209190683200348,1,0.0
13,13,50,1.7253149486875432,1.7242306699293177,1,0.0
14,14,50,1.7259340517233546,1.7259300140834308,1,0.0
15,15,50,1.722144609397877,1.7197239608137604,1,0.006643041353071826
16,16,50,1.7110664708612515,1.7110629234840093,1,0.0
17,17,50,1.716792137807365,1.716788585142488,1,0.0
18,18,50,1.7215508071609142,1.7215434389359292,1,0.0
19,19,50,1.724973932877019,1.7249730108077532,1,0.0
20,20,50,1.715876138025536,1.7158707683609946,1,14.50409826468393
21,21,50,1.7290784917267714,1.7283839420384084,1,0.0
22,22,50,1.728492391515457,1.7284731207027733,1,0.0
23,23,50,1.7167694277803924,1.7167664194944254,1,22.474333891790334
24,24,50,1.7089068955006659,1.7089058515204432,1,0.0
25,25,50,1.7225568913156373,1.722556016021199,1,18.856434931057894
26,26,50,1.7164814618439412,1.716477991886931,1,0.0
27,27,50,1.7099557244228865,1.7099546173346947,1,20.697847895784765
28,28,50,1.7295342163515977,1.7295330530994086,1,1.2258766468426336
29,29,50,1.717568227027773,1.717009190040359,1,0.08679037352166874
30,30,50,1.7232367750154445,1.7231598894691138,1,0.0
31,31,50,1.7244844338240681,1.7244790138625814,1,0.0
32,32,50,1.7188070219837777,1.7186679788185972,1,0.0
33,33,50,1.720472462667093,1.7204327934393042,1,0.0
34,34,50,1.7076711690182786,1.7076704640851859,1,0.0
35,35,50,1.7110450994070743,1.7106540402339079,1,0.05781373265221289
36,36,50,1.7263100524590995,1.7263063551922966,1,0.0
37,37,50,1.7148108906991155,1.714785764761467,1,0.0
38,38,50,1.7282824448174778,1.7282820657854074,1,0.0
39,39,50,1.7152646910294425,1.7152587211618608,1,12.298360329109475
40,40,50,1.7201792638091373,1.713399599044458,1,0.0034349222361127075
41,41,50,1.73026603032026,1.722916019375311,1,0.021800922234400947
42,42,50,1.721831563295114,1.7218283103894916,1,0.0
43,43,50,1.720579661484993,1.7205765118284095,1,10.126187956280459
44,44,50,1.7223629359314363,1.7174296496352746,1,0.0
45,45,50,1.7300559384018919,1.7300540310163963,1,0.0
46,46,50,1.718491232973566,1.7184873728686747,1,0.0
47,47,50,1.7179175492051015,1.7179126286204778,1,0.0
48,48,50,1.7170237667145496,1.7170197522266026,1,3.262134431358848
49,49,50,1.717637947745644,1.716615305641961,1,0.0
