fold,seed,inner_cv_rmse,n_neighbors,weights,p
0,0,2.1523408261782704,19,distance,2
1,1,2.145585571137233,17,distance,2
2,2,2.1496147390411537,19,distance,2
3,3,2.1459653534711807,17,distance,2
4,4,2.1462486395435,17,distance,2
5,5,2.1530621694621352,14,distance,2
6,6,2.1441672749911795,13,distance,2
7,7,2.1517632336940773,18,distance,2
8,8,2.1454611971080064,23,distance,2
9,9,2.1347758691697534,16,distance,2
10,10,2.133105574241481,17,distance,2
11,11,2.1527611387240144,15,distance,1
12,12,2.1524287622849685,20,distance,2
13,13,2.1454166967449955,14,distance,2
14,14,2.1530059252006515,15,distance,2
15,15,2.137420985392114,16,distance,2
16,16,2.133785231985194,15,distance,2
17,17,2.153835533720989,18,distance,1
18,18,2.1601363429548686,16,distance,2
19,19,2.133801660711596,17,distance,2
20,20,2.130382171055383,14,distance,2
21,21,2.1302688544611468,17,distance,2
22,22,2.1456270149617693,17,distance,2
23,23,2.1607302436693034,15,distance,2
24,24,2.1517260432888596,17,distance,2
25,25,2.143761717110686,12,distance,2
26,26,2.150093190629507,14,distance,2
27,27,2.1420031952360215,16,distance,2
28,28,2.1543453196025584,19,distance,2
29,29,2.137002135309503,18,distance,2
30,30,2.1368567657291373,14,distance,2
31,31,2.12814876167543,13,distance,2
32,32,2.1402246829395146,15,distance,1
33,33,2.1481886408374495,17,distance,2
34,34,2.1437081003544725,15,distance,2
35,35,2.1260816839058565,14,distance,2
36,36,2.1633270901986887,17,distance,2
37,37,2.1491162851298067,19,distance,2
38,38,2.1265880161385304,14,distance,2
39,39,2.1472398928883485,18,distance,2
40,40,2.1470860294313434,16,distance,2
41,41,2.1373855241761666,18,distance,2
42,42,2.143785311195002,16,distance,2
43,43,2.1493779414481837,11,distance,2
44,44,2.1465323448915363,17,distance,2
45,45,2.1394710512827126,16,distance,2
46,46,2.14588661187284,17,distance,2
47,47,2.146411580490735,15,distance,2
48,48,2.1497096730572793,15,distance,2
49,49,2.130121167431411,16,distance,2
