fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,2.1712051906914684,2.1523408261782704,1,0.0
1,1,50,2.181859447914704,2.145585571137233,3,0.0
2,2,50,2.162338609652756,2.1496147390411537,1,0.0
3,3,50,2.1643540029110446,2.1459653534711807,1,0.0
4,4,50,2.1807650469793045,2.1462486395435,6,0.0
5,5,50,2.176696139948719,2.1530621694621352,2,0.0
6,6,50,2.195380167072608,2.1441672749911795,3,0.0
7,7,50,2.2538615898544903,2.1517632336940773,3,0.0
8,8,50,2.182483627847669,2.1454611971080064,3,0.0
9,9,50,2.423893388459544,2.1347758691697534,6,0.030627069399837118
10,10,50,2.1627790039191597,2.133105574241481,2,0.0
11,11,50,2.170280214818047,2.1527611387240144,1,0.0
12,12,50,2.185113802840177,2.1524287622849685,5,0.0
13,13,50,2.1709014184502267,2.1454166967449955,11,20.465840618405196
14,14,50,2.1624128076203175,2.1530059252006515,1,0.0
15,15,50,2.196641488996989,2.137420985392114,2,0.0
16,16,50,2.155129444327277,2.133785231985194,2,0.0
17,17,50,2.1751258496827197,2.153835533720989,1,0.0
18,18,50,2.183982101395421,2.1601363429548686,3,0.0
19,19,50,2.227997824480277,2.133801660711596,2,0.0
20,20,50,2.1563826814838336,2.130382171055383,3,0.0
21,21,50,2.3189830023697087,2.1302688544611468,2,0.0
22,22,50,2.1862443143325674,2.1456270149617693,7,0.0
23,23,50,2.191721621499006,2.1607302436693034,3,0.0
24,24,50,2.2048907549356924,2.1517260432888596,2,0.0
25,25,50,2.208198099622165,2.143761717110686,2,0.0
26,26,50,2.150093190629507,2.150093190629507,1,0.0
27,27,50,2.162041833288767,2.1420031952360215,1,0.0
28,28,50,2.203274475801349,2.1543453196025584,4,0.0
29,29,50,2.174902760882998,2.137002135309503,2,0.0
30,30,50,2.157005080646212,2.1368567657291373,1,0.0
31,31,50,2.140080188333292,2.12814876167543,1,0.0
32,32,50,2.1727574111853105,2.1402246829395146,4,0.0
33,33,50,2.1802343520198924,2.1481886408374495,8,0.0
34,34,50,2.273196750011766,2.1437081003544725,3,0.0
35,35,50,2.1633546689680756,2.1260816839058565,7,0.0
36,36,50,2.1882599495101,2.1633270901986887,3,0.0
37,37,50,2.203469976999205,2.1491162851298067,3,0.0
38,38,50,2.133629160383327,2.1265880161385304,1,0.0
39,39,50,2.1587769189299046,2.1472398928883485,1,0.0
40,40,50,2.157486795586514,2.1470860294313434,1,0.0
41,41,50,2.166996991838372,2.1373855241761666,11,0.0
42,42,50,2.156990475233253,2.143785311195002,1,0.0
43,43,50,2.204856234341645,2.1493779414481837,2,3.3809889424946107
44,44,50,2.181492096833671,2.1465323448915363,2,0.0
45,45,50,2.2124865679244508,2.1394710512827126,6,0.0
46,46,50,2.183221288703569,2.14588661187284,4,0.0
47,47,50,2.2097641702168724,2.146411580490735,8,0.0
48,48,50,2.4185612441970346,2.1497096730572793,4,0.0
49,49,50,2.131613015384064,2.130121167431411,1,0.0
