fold,seed,inner_cv_rmse,alpha
0,0,1.7138423872540245,0.01160194443301923
1,1,1.7272179048352527,0.019981899913726692
2,2,1.70944963391611,0.019529397946654807
3,3,1.7141563674378666,0.01842713080744635
4,4,1.722950738483861,0.023715597274249323
5,5,1.7266428354792827,0.01799884249081091
6,6,1.7184979563214224,0.025414783451714544
7,7,1.7216989875901123,0.021768818410509632
8,8,1.7166313792175576,0.02141823471132558
9,9,1.7102598770602255,0.023109521597832496
10,10,1.7089614769930719,0.01018609318665659
11,11,1.716983505057108,0.026738404611233727
12,12,1.7186157183922475,0.02393640158826525
13,13,1.7225621139114036,0.018123121911615758
14,14,1.723823855161602,0.02629061889631444
15,15,1.7180954886818518,0.023578671993722072
16,16,1.7089937109301467,0.030186927339656396
17,17,1.7156092273592125,0.01825796848719904
18,18,1.7208475191044503,0.019669038457224106
19,19,1.7248090122349904,0.006001853821825613
20,20,1.7131131910977455,0.028806773170591046
21,21,1.727079264753255,0.021826744839596787
22,22,1.7265601553388925,0.03083559456733923
23,23,1.7156819060225494,0.021671551306289952
24,24,1.7077265752012205,0.01825745297959164
25,25,1.7209041905069544,0.021013897320514063
26,26,1.715296265365162,0.01969033990073907
27,27,1.7095996903152666,0.010395388204185322
28,28,1.7280048219499142,0.02034782250895209
29,29,1.7153900240190443,0.029072542332614502
30,30,1.7226223084884917,0.011237467220953897
31,31,1.7218998544164053,0.023772251580584946
32,32,1.7170012801997097,0.025027528432749413
33,33,1.718754670886104,0.020886039405067006
34,34,1.7073005955431184,0.011861050765111526
35,35,1.7095532544123575,0.023411534546458366
36,36,1.7253096792747116,0.02361837009872637
37,37,1.713693426656502,0.01606984118848965
38,38,1.727099117234269,0.01790211338321254
39,39,1.7134110549654373,0.02783563198917536
40,40,1.7124503318179827,0.02031814723205648
41,41,1.72007584941639,0.027580834451770626
42,42,1.7196387246516405,0.023097768979889837
43,43,1.7196949721178285,0.019321489241401278
44,44,1.7167024930190435,0.01914708172229948
45,45,1.7289615891315424,0.024688615756345293
46,46,1.7160697162046776,0.029595700681951883
47,47,1.7160831736799136,0.027916180832013048
48,48,1.7157916184287263,0.02815312024240005
49,49,1.7138045337268963,0.027724163936613692
