fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7171222048718815,1.7138423872540245,1,0.0
1,1,50,1.7273141116283113,1.7272179048352527,1,0.0
2,2,50,1.7094985364859512,1.70944963391611,1,1.839189404163692
3,3,50,1.7161034049228143,1.7141563674378666,1,0.0
4,4,50,4.0393929919088105,1.722950738483861,2,0.0
5,5,50,1.7280967396075446,1.7266428354792827,1,0.0
6,6,50,3.9858090013878247,1.7184979563214224,2,0.0007548367036657603
7,7,50,1.722216655773788,1.7216989875901123,1,0.0
8,8,50,3.5687084685425625,1.7166313792175576,4,0.0
9,9,50,1.7126243033337758,1.7102598770602255,1,0.0
10,10,50,2.051953946701258,1.7089614769930719,2,0.00024975500349176373
11,11,50,1.7188153135192408,1.716983505057108,1,0.0
12,12,50,1.720776045039619,1.7186157183922475,1,0.0
13,13,50,2.109901885255078,1.7225621139114036,2,0.0005395387767044555
14,14,50,1.723989669310026,1.723823855161602,1,0.0
15,15,50,3.1261532553257565,1.7180954886818518,2,0.0
16,16,50,1.7107755286192048,1.7089937109301467,1,0.009661327640901744
17,17,50,1.7163982164783804,1.7156092273592125,1,0.0
18,18,50,1.7476738891201413,1.7208475191044503,2,0.0
19,19,50,1.724957275254356,1.7248090122349904,1,0.0
20,20,50,1.7192412741698568,1.7131131910977455,1,0.8187708436675246
21,21,50,1.728365450175967,1.727079264753255,1,0.031471109791297504
22,22,50,1.7283267383510679,1.7265601553388925,1,0.0
23,23,50,1.7163628742029797,1.7156819060225494,1,0.0
24,24,50,4.070544514487423,1.7077265752012205,4,0.0
25,25,50,3.5078728113280855,1.7209041905069544,2,0.00011100468470793177
26,26,50,1.716059871308024,1.715296265365162,1,0.17514517333892737
27,27,50,1.7096358987300195,1.7095996903152666,1,3.7720599692085934
28,28,50,1.8872109703603122,1.7280048219499142,2,0.0
29,29,50,3.4136262077674386,1.7153900240190443,2,0.0
30,30,50,1.7465556883843614,1.7226223084884917,2,0.0
31,31,50,1.7238854090858986,1.7218998544164053,1,0.04059277408715071
32,32,50,3.347569037846803,1.7170012801997097,2,0.0
33,33,50,1.7201326593301112,1.718754670886104,1,0.2942229038229308
34,34,50,1.70766016720498,1.7073005955431184,1,0.0
35,35,50,1.70958914544724,1.7095532544123575,1,0.0
36,36,50,1.8813592357467932,1.7253096792747116,2,0.0
37,37,50,4.0388528730552276,1.713693426656502,2,0.00020170827301102586
38,38,50,1.7274602502806204,1.727099117234269,1,0.0
39,39,50,1.7144718713416989,1.7134110549654373,1,0.17507037507050402
40,40,50,1.712599001675244,1.7124503318179827,1,0.0
41,41,50,1.7225472033663976,1.72007584941639,1,0.0
42,42,50,1.7205491566107245,1.7196387246516405,1,0.0
43,43,50,1.7205466485254017,1.7196949721178285,1,0.8173512206265607
44,44,50,2.843139434959042,1.7167024930190435,2,0.00011019368543596541
45,45,50,4.0182009949798045,1.7289615891315424,2,0.0
46,46,50,2.1517825830198523,1.7160697162046776,3,6.2428575278107475e-06
47,47,50,1.7178622375316621,1.7160831736799136,1,0.0
48,48,50,1.7170062774547425,1.7157916184287263,1,0.0
49,49,50,1.715845652893016,1.7138045337268963,1,0.0
