Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.5790317465174137,0.060144291471823146,2.5621648725511874,2.595161887601838
Solar_Radiation_Wm2,1.3463604463685834,0.029979249558767268,1.3379856809813564,1.3545669401931801
Heat_Reflective_Treatment,0.1637575665372415,0.01616227772551548,0.15929687577198468,0.1683346782341364
Coating_Reflectivity_%,0.12118106912054726,0.01111163703012334,0.1181028515109834,0.12427474714430717
Wind_Speed_ms,0.0013459817677733369,0.0009014745674665506,0.0011012753039546083,0.0015934437717406464
Insulation_Level,-2.2684857555014926e-05,7.169354187008956e-05,-4.478301850179766e-05,-5.001633801530846e-06
HVAC_Setpoint_C,-3.8243901114484835e-05,0.00018253549682815511,-9.555529857328063e-05,1.4134050853918925e-06
Outdoor_Humidity_%,-5.796882544365589e-05,0.00017798397361991775,-0.00011315291256888422,-1.5134133707820673e-05
Wall_Thickness_cm,-8.640060691403305e-05,0.00028823227220203205,-0.00017360052339495595,-1.712304942915187e-05
Occupancy_Level,-9.126119204552108e-05,0.00038837721693624503,-0.00021617080907280266,-1.514637624069332e-05
Emissivity,-0.00016511709281237554,0.0005785263927174642,-0.00034894563903733734,-2.8888881765211633e-05
Building_Orientation,-0.00017801521033965838,0.000369248073342744,-0.0002859543263432824,-8.087253438202223e-05
