fold,seed,inner_cv_rmse,n_estimators,num_leaves,max_depth,learning_rate,subsample,colsample_bytree,min_child_samples,reg_alpha,reg_lambda
0,0,1.6952533024620795,250,120,4,0.03675209319083567,0.9208274022144041,0.6932604130676037,44,4.8625569437311165e-06,0.050765458152106646
1,1,1.7043173858300675,500,87,4,0.012323982265324373,0.8751336735405628,0.7703435223880369,7,8.162026917703129,0.031104137445507458
2,2,1.6824666718420818,400,131,3,0.01797329690573113,0.5562155311790741,0.7925354515263354,37,3.1383938678761207e-06,2.557196189944156
3,3,1.6856698571443267,500,191,4,0.01169369795613991,0.9749300046690323,0.7587860312165718,28,0.6810656019811933,9.94873166602021e-06
4,4,1.7002519699504994,300,207,4,0.0327263578404827,0.960945199134308,0.6767667913938038,15,0.00018285753144777,0.003199844269371511
5,5,1.7090446093091636,400,146,3,0.029195716142172708,0.9954261313925993,0.6834561308894698,16,5.310339730342339e-08,9.4757169586751
6,6,1.690390006898649,550,30,4,0.013253075441735223,0.8659447723336849,0.7653220614707235,23,0.0015382338905279176,3.520278933810051e-06
7,7,1.6949739309052387,100,16,-1,0.04718585295607352,0.8385611503773289,0.8702387268349927,14,0.0033534637393826017,1.734482933564414e-08
8,8,1.6939327147794665,250,125,4,0.02003910415219552,0.6151824044160685,0.8277147226377686,22,0.002844584148291261,1.6425945651178349
9,9,1.695441524009167,550,197,3,0.014067978383202463,0.8052688704240647,0.7481408588355936,31,8.317622061830867e-05,0.6818277422268425
10,10,1.6831604317909334,350,19,8,0.016939459259770574,0.6845302692137576,0.6601777434124178,37,0.02463122101546501,2.2510350159076273e-06
11,11,1.6982687348291179,200,113,4,0.0410755535955854,0.6675252304425621,0.9502410835273998,46,6.977451331315663,5.349102749420166e-07
12,12,1.6968830745540964,350,176,4,0.01738442358471084,0.9302057414386352,0.8284183383475274,35,6.713387361440487e-07,0.29114069289084177
13,13,1.7046643472328622,450,160,3,0.02952731418706181,0.6017051590398101,0.7305391874316838,25,0.0003612299709994271,0.6723611648601869
14,14,1.6989865347686404,250,134,3,0.03956087716050461,0.5597031004930573,0.7852181529097693,53,0.01899207249337103,1.106310214811107e-08
15,15,1.6957900601888014,150,17,11,0.03774432814798409,0.6098810186685674,0.7737762168229863,56,0.7603148601382802,1.4071143580848626e-07
16,16,1.6796169818597675,450,15,6,0.011152090858878813,0.6631711761736269,0.887273619294833,54,1.3583223196792764e-05,0.025547000808857367
17,17,1.6914896187117576,600,15,11,0.009000935816479287,0.5229508722593059,0.7203406044805097,19,7.714491295163484e-08,0.01419741711638204
18,18,1.7122604151022127,350,39,3,0.021769173384669434,0.5009091522880762,0.8924054159782705,9,2.15749171744104e-05,0.00013558282927818934
19,19,1.6922654960333632,200,69,3,0.04215007997769184,0.5798809932201374,0.7251286418222784,48,8.701056387933724e-06,3.8294576530056843
20,20,1.6822858399241334,450,71,3,0.022696864046453366,0.8034766709798297,0.6608893806517704,23,0.0015266429072073005,0.052367270072164476
21,21,1.705541686188574,150,15,5,0.03590007191151534,0.6510206357504197,0.7874665564900555,30,0.0007001999127111095,2.1191466610334094e-07
22,22,1.6923585431310795,200,155,4,0.030899302613671575,0.694796734163827,0.8662015778776858,35,6.159475937506837e-05,9.992082232550309e-08
23,23,1.703004079550124,400,175,2,0.03909887161442835,0.5840726410914852,0.7437063571896794,35,4.208712407196012e-06,0.009729147283280335
24,24,1.6951739421214271,150,223,2,0.08410212415211642,0.7145633530688074,0.9671564087405568,37,5.22304753288419e-05,3.2848417575907873e-06
25,25,1.6958750834114826,400,158,4,0.01409262065186079,0.9166292174828077,0.6195299965707411,9,0.0003145594674590755,7.797336520153745e-08
26,26,1.6865481031399008,550,41,3,0.013580872305732121,0.7009100137807505,0.7022568855715019,42,0.6617754292667323,4.2640970960885675e-06
27,27,1.6866545354842017,500,18,3,0.019259530858222032,0.5102059274335978,0.7313616055165988,47,2.1283656328094307,1.2375448738778967e-05
28,28,1.6974772566573815,450,214,3,0.015276808982489412,0.7108303958835132,0.6391161158360386,11,2.644874829693858e-07,0.1620471453994218
29,29,1.7054486028077143,400,41,11,0.011609774587801613,0.6629516265102473,0.7873345998146613,27,8.69486344410701e-07,6.066051119630728e-06
30,30,1.7088006711834622,550,126,4,0.011720746055998254,0.9184282382958447,0.6112939563580428,24,9.284779363341046,2.9046924695630434
31,31,1.7008776091379427,400,104,3,0.030068751962444188,0.9112178649942223,0.615972349406297,39,3.7685877935195666e-07,3.169282054977856e-07
32,32,1.6930533043763454,500,245,3,0.02099602639546724,0.9190199640485538,0.71000849269797,33,0.00030233636627285954,3.1326002604553302
33,33,1.6955883823256044,100,124,3,0.11402347590279582,0.845487982152015,0.6797986394379393,46,2.0746266152513e-06,0.0647345981060646
34,34,1.6845377408318953,350,209,3,0.032899431294235705,0.7145245545906875,0.5861391674522344,30,0.007668362194058351,1.3822405074825836e-05
35,35,1.6905252932207309,250,131,3,0.033899107012115126,0.8551050699666943,0.9813057094500738,55,0.10069529987013942,1.0252623589054365e-06
36,36,1.69666326896565,450,180,3,0.01824918063071072,0.5691487096168306,0.7324676533613,54,0.000410961099351285,0.015986097907692728
37,37,1.686529186159951,600,15,7,0.010937451512013597,0.6514838665220579,0.9420655546403258,17,0.0009243779144532957,7.074952956731927
38,38,1.7059816046102079,200,155,4,0.04677830197760425,0.9826240454776812,0.9975193006047319,48,0.8299216397314664,4.5356308988001376e-08
39,39,1.687130174889744,400,125,3,0.02299931529259043,0.9939169989123113,0.6269006360497734,53,1.6469174826574612e-07,0.003513927680373166
40,40,1.6810462468301346,550,130,3,0.014235271389965444,0.8060632840987548,0.8167041882157461,38,0.0023620502740922572,0.026232513699087162
41,41,1.7076209111207874,500,55,4,0.00876705421838631,0.7931868996373359,0.9152431831685686,39,2.545114981146678e-06,6.017763250245866
42,42,1.6953395322806322,550,19,3,0.015461469837052403,0.6505924372824068,0.8108500864255147,20,0.005724417561056709,1.3362703292839753e-06
43,43,1.6986120542630825,300,71,3,0.031913106854333594,0.5593328744492108,0.6364880900775574,14,3.4990935823817725e-06,0.737956719743017
44,44,1.6833959969263863,300,207,3,0.029673139503917326,0.6923197318258335,0.7336414549697985,41,0.00021286744525635524,0.0007344905241939318
45,45,1.7113037646342018,600,133,4,0.015770399284156394,0.7730455695064156,0.7440498554921737,50,1.3265655078723489e-05,1.417445170191529e-08
46,46,1.6842230317374558,350,189,3,0.026984615400131903,0.8783219098602241,0.5831084089120346,59,1.3872285176620327e-07,2.4791124782635574
47,47,1.6927633360931396,550,107,3,0.027917695791019444,0.7276067519451166,0.5786882652696046,37,0.034684755614688485,3.225720616175075e-06
