fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7176622012527765,1.6952533024620795,10,0.0
1,1,50,2.160884590740533,1.7043173858300675,14,0.0
2,2,50,1.71262218141452,1.6824666718420818,22,0.0
3,3,50,1.6965757857917325,1.6856698571443267,1,0.0
4,4,50,1.7885477809597699,1.7002519699504994,5,3.459019898597192
5,5,50,1.7428598438189797,1.7090446093091636,17,3.921675600098955
6,6,50,2.690183583621843,1.690390006898649,20,0.36920628841226066
7,7,50,1.7011187306197382,1.6949739309052387,1,0.0
8,8,50,1.767390214685739,1.6939327147794665,10,0.0
9,9,50,3.5830442858781018,1.695441524009167,5,0.0
10,10,50,1.754460248786184,1.6831604317909334,13,7.4041825552152325
11,11,50,1.708973681716294,1.6982687348291179,1,29.153421527525605
12,12,50,1.8666226831944281,1.6968830745540964,5,0.45131576127366674
13,13,50,1.9330153530330876,1.7046643472328622,13,2.494725475923457
14,14,50,3.0656778124698,1.6989865347686404,14,0.0
15,15,50,1.7253591965805484,1.6957900601888014,2,0.0
16,16,50,3.4622096423195927,1.6796169818597675,13,0.0
17,17,50,3.5834792561650284,1.6914896187117576,3,0.0
18,18,50,2.115898125190653,1.7122604151022127,12,0.4852114506625117
19,19,50,3.5278672420135786,1.6922654960333632,28,0.08908557341480718
20,20,50,1.829322337766547,1.6822858399241334,12,3.7438675761950337
21,21,50,3.8370332867536865,1.705541686188574,10,0.0
22,22,50,1.734910839950765,1.6923585431310795,5,0.0
23,23,50,1.8965770531762753,1.703004079550124,18,3.701235748705766
24,24,50,1.7977958183899667,1.6951739421214271,2,0.0
25,25,50,2.398516270146584,1.6958750834114826,3,0.5247581315165621
26,26,50,1.7888234556660951,1.6865481031399008,15,0.0
27,27,50,1.8101787540989673,1.6866545354842017,11,0.0
28,28,50,1.7378705924979179,1.6974772566573815,8,0.0
29,29,50,1.8267732168227386,1.7054486028077143,14,0.0
30,30,50,2.3807790451390645,1.7088006711834622,2,0.0
31,31,50,1.8835426339853019,1.7008776091379427,2,1.1567127719037498
32,32,50,1.8690505434356226,1.6930533043763454,2,0.11249736361796447
33,33,50,2.7311440155442455,1.6955883823256044,23,0.9429608055774336
34,34,50,1.7262186442489191,1.6845377408318953,14,0.0
35,35,50,2.325981858208167,1.6905252932207309,13,0.0
36,36,50,2.305885715986022,1.69666326896565,9,0.0
37,37,50,1.7276922700271182,1.686529186159951,5,3.6249112443952587
38,38,50,1.8099519606512129,1.7059816046102079,7,0.0
39,39,50,2.525741253967287,1.687130174889744,18,1.0796068371652425
40,40,50,2.1395310402516134,1.6810462468301346,15,0.0
41,41,50,3.465358428832438,1.7076209111207874,16,0.0
42,42,50,1.7859856615686938,1.6953395322806322,12,0.9218699124722652
43,43,50,2.7025195966644957,1.6986120542630825,11,0.0
44,44,50,1.70927286456025,1.6833959969263863,2,0.0
45,45,50,2.742265026659367,1.7113037646342018,9,0.0
46,46,50,1.717439781039311,1.6842230317374558,13,0.0
47,47,50,2.137441550903245,1.6927633360931396,5,0.0
48,48,50,3.209713617890011,1.6919613348494813,5,0.0
49,49,50,1.842484144201912,1.6899612377503939,15,1.131002860122769
