Feature,PermImportance_mean,PermImportance_std,CI95_low,CI95_high
Ambient_Temperature_C,2.4105676889885874,0.06155988295140164,2.3934998942671797,2.4278809890379636
Solar_Radiation_Wm2,1.2234161579103564,0.03226214614357741,1.214502548076163,1.2325934772237814
Heat_Reflective_Treatment,0.521429207566804,0.053838774426441784,0.5069319420167582,0.536442716480819
Coating_Reflectivity_%,0.1111382320200536,0.01572225274241833,0.10684980164241185,0.11559668412077692
Wind_Speed_ms,0.004033969943923859,0.0022430868869680125,0.0034009533542797904,0.0046430797804268556
HVAC_Setpoint_C,8.741525868127466e-05,0.0011763986350291202,-0.00022427300355395575,0.00041225984742168995
Occupancy_Level,-0.00013432670278478695,0.00045292354618998353,-0.0002657474768069167,-1.868852506373386e-05
Building_Orientation,-0.0001521696479529191,0.0004793706449553767,-0.00029485535749852537,-2.576325811871415e-05
Insulation_Level,-0.00018742849080642055,0.0004734152994196002,-0.0003244967677988337,-5.942536325205338e-05
Emissivity,-0.00028526495097590444,0.0007381046074828525,-0.0004857774350117899,-7.867986544032449e-05
Wall_Thickness_cm,-0.0005371567063112779,0.0013292729984220454,-0.000913884568485169,-0.00017976736614110152
Outdoor_Humidity_%,-0.000838852277989107,0.0016714969329511217,-0.0013191323028290442,-0.0003991068354333927
