fold,seed,inner_cv_rmse
0,0,1.7145855527062905
1,1,1.7282642682393186
2,2,1.7103377845422085
3,3,1.715389170782481
4,4,1.7246191285163015
5,5,1.728254355620157
6,6,1.7199027766884303
7,7,1.7222345453991028
8,8,1.7183712514248874
9,9,1.7126456196079591
10,10,1.7093213978798865
11,11,1.7189597604626983
12,12,1.7209234843863803
13,13,1.7242330770689107
14,14,1.7259345285228929
15,15,1.7197291017706196
16,16,1.7110647784255293
17,17,1.7167909325853352
18,18,1.7215472951549846
19,19,1.7249743722021482
20,20,1.715876209170712
21,21,1.7283906219926741
22,22,1.7284783259044296
23,23,1.7167690421176456
24,24,1.708906663183289
25,25,1.7225577342849696
26,26,1.7164812815891992
27,27,1.709955738979548
28,28,1.7295343807463701
29,29,1.7170131328091354
30,30,1.7231615493725307
31,31,1.7244842822193331
32,32,1.7186723949378813
33,33,1.7204337258551898
34,34,1.707671307797679
35,35,1.7106551230139189
36,36,1.7263105562828227
37,37,1.7147899320430935
38,38,1.7282826824389292
39,39,1.7152649591915914
40,40,1.713401005648457
41,41,1.722921850156602
42,42,1.721831456553905
43,43,1.720580125573425
44,44,1.7174323381488221
45,45,1.7300571822134914
46,46,1.7184917530024102
47,47,1.717917017840915
48,48,1.7170244577448013
49,49,1.7166191984196584
