fold,seed,inner_cv_rmse,hidden_layer_sizes,alpha,learning_rate_init
0,0,1.7603396167663519,"(128,)",0.09661354384852666,0.0001851383563409417
1,1,1.779677626063788,"(128,)",1.1671539913162227e-06,0.00020743370596980307
2,2,1.7573337610750515,"(64,)",0.05581916530903572,0.00035129172140853317
3,3,1.7435793065093903,"(128,)",0.015504601002928,0.00027586840106088976
4,4,1.7620425622190474,"(64,)",0.004351820780250113,0.00039132509403413235
5,5,1.799284928260373,"(128, 64)",0.00027672980940625716,0.0016729683536668887
6,6,1.7507767780032766,"(128,)",5.1726076195708105e-06,0.00020224145145575028
7,7,1.7682141975965688,"(64,)",0.048306202390158044,0.0009604568749892248
8,8,1.7499481523661182,"(64,)",0.002234852101946904,0.004630974865227506
9,9,1.747185765692072,"(128,)",3.499930684360432e-05,0.00021833069833683514
10,10,1.743929696756539,"(128,)",1.315337163013061e-05,0.00018253691533271624
11,11,1.757477041409846,"(128,)",0.0423014751504581,0.00019739166837787932
12,12,1.763156335381257,"(128,)",1.6355921462634574e-05,0.0002015452027944246
13,13,1.7581085207539986,"(128,)",6.258764291099619e-06,0.00022309389334845768
14,14,1.7690163213798058,"(128,)",0.0009220578371753049,0.0001945786614244539
15,15,1.7603964718673342,"(128,)",1.7406259461857795e-06,0.00024946278221307626
16,16,1.743181932788919,"(128,)",0.00039164414472659444,0.0002115869300667476
17,17,1.75435708875854,"(128,)",4.109781351817861e-06,0.00025531235078756083
18,18,1.7655924881777896,"(128,)",0.0002456985358261241,0.0002089842277658607
19,19,1.7537763651017868,"(128,)",0.08811084398704802,0.00018362738269933808
20,20,1.7610738279343123,"(64,)",0.05922644568590101,0.007643141841048501
21,21,1.7589113471422704,"(128,)",4.203115367893923e-05,0.00020496121154713862
22,22,1.757265316469864,"(128,)",0.06375381120973178,0.00020495960879841885
23,23,1.75432500680543,"(64,)",6.887069288754714e-05,0.0003219901515282522
24,24,1.7679174371904474,"(64,)",0.0006511257140805772,0.00030095159222591445
25,25,1.7655846811571176,"(128,)",0.04214722854042083,0.00023630013961007502
26,26,1.7587893988175414,"(64,)",0.001894375717183475,0.0047428464625672104
27,27,1.768292683339639,"(64, 32)",0.0028338535482672587,0.0001450359215053339
28,28,1.7658544240628558,"(128,)",0.04443182134107733,0.0002337864464160946
29,29,1.7553599061819891,"(64,)",5.674127691017817e-05,0.000367945361670731
30,30,1.7768152700154345,"(128,)",0.08893645012551264,0.00029944009770562505
31,31,1.7754212616946075,"(64,)",0.00019133566180643308,0.005437727621389239
32,32,1.7699862077928088,"(128,)",2.890536633697644e-06,0.00016644822532645783
33,33,1.7618539273232252,"(128,)",0.00028817154586403284,0.0002188641517238683
34,34,1.7385197049870071,"(128,)",3.863970033115585e-06,0.00021236889921703804
35,35,1.7598498930796207,"(64,)",0.098381824097728,0.0007768959690173403
36,36,1.7683748064108458,"(128,)",0.09878460908422122,0.00028492984168683233
37,37,1.7524239659887102,"(128,)",0.0001447647113732303,0.00018993318403975315
38,38,1.7852053063558775,"(64, 32)",0.009916642199460871,0.002862248089129406
39,39,1.7544955159184699,"(128,)",0.020385127192161154,0.00021538245656086398
40,40,1.7587757510141295,"(128,)",0.0009945976108026928,0.0002020003185004226
41,41,1.7788934820586129,"(128,)",0.00012226297146480694,0.00033150766842320067
42,42,1.7626833544957559,"(128,)",1.0063188172924351e-06,0.00017669870360627075
43,43,1.7636184720396297,"(128,)",4.189358284261672e-05,0.00023441082494053385
44,44,1.7712054118195155,"(64,)",0.0030700792829875005,0.007247790089540715
45,45,1.7706911271130785,"(128,)",1.2336880987435498e-05,0.00020593105768904125
46,46,1.752163244143898,"(128,)",0.02641285671258714,0.00025185313846466043
47,47,1.7555641202889798,"(128,)",0.007252235300847221,0.0002217662647239441
48,48,1.7636833585533402,"(128,)",0.0008787889787757957,0.00021303322428478064
49,49,1.752155172179684,"(128,)",1.3750376838814164e-05,0.0001810370860613408
