fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.8463552365115512,1.7603396167663519,29,5.886611328804381
1,1,50,1.7906704609796207,1.779677626063788,1,0.0
2,2,50,1.8817602436916858,1.7573337610750515,10,6.873579153515558
3,3,50,1.8036732570641312,1.7435793065093903,9,0.0
4,4,50,1.8149760834814643,1.7620425622190474,2,3.2669519398099314
5,5,50,1.799284928260373,1.799284928260373,1,0.0
6,6,50,1.8131034733908773,1.7507767780032766,8,0.0
7,7,50,1.815684952285898,1.7682141975965688,5,4.281279048613152
8,8,50,1.8121689563891223,1.7499481523661182,11,0.0
9,9,50,1.7528089271719658,1.747185765692072,1,0.0
10,10,50,1.7845000531067647,1.743929696756539,30,0.0
11,11,50,2.1495155288611087,1.757477041409846,10,0.3853439815447291
12,12,50,1.832791040654095,1.763156335381257,11,1.697546413701504
13,13,50,2.1170387311963443,1.7581085207539986,2,0.0
14,14,50,1.8262840658323092,1.7690163213798058,9,0.42801105645854143
15,15,50,1.7999211298501776,1.7603964718673342,12,1.9645328473751882
16,16,50,1.804027855370677,1.743181932788919,8,0.0
17,17,50,1.8190563055091455,1.75435708875854,6,0.7171466256278135
18,18,50,1.7944744069282907,1.7655924881777896,8,5.360841629008975
19,19,50,1.7612732668305775,1.7537763651017868,1,0.0
20,20,50,1.8172985053672606,1.7610738279343123,9,0.403262943922465
21,21,50,1.8012708631066292,1.7589113471422704,24,4.953092948308316
22,22,50,2.0810741251692506,1.757265316469864,23,0.0
23,23,50,1.8366923903132577,1.75432500680543,14,0.6475572842730498
24,24,50,1.8006687372008248,1.7679174371904474,5,0.0
25,25,50,1.8305002623728082,1.7655846811571176,40,39.706996902965116
26,26,50,1.894253040250684,1.7587893988175414,41,14.583784456008164
27,27,50,1.8230832840299152,1.768292683339639,9,0.0
28,28,50,1.792193222155986,1.7658544240628558,5,0.0
29,29,50,1.7662093403170167,1.7553599061819891,1,0.0
30,30,50,1.8497750834859072,1.7768152700154345,2,0.0
31,31,50,1.8905503203343486,1.7754212616946075,6,0.0
32,32,50,1.8152541299853364,1.7699862077928088,6,0.0
33,33,50,1.765869549208249,1.7618539273232252,1,13.778312898447414
34,34,50,1.8087241288680478,1.7385197049870071,7,0.0
35,35,50,1.8141601056912708,1.7598498930796207,7,7.335184251837238
36,36,50,1.894058602955477,1.7683748064108458,11,0.0
37,37,50,1.7889051403236866,1.7524239659887102,9,10.67930088698068
38,38,50,1.8273167147209446,1.7852053063558775,5,0.0
39,39,50,1.858500668185176,1.7544955159184699,4,0.0
40,40,50,1.7962441810895473,1.7587757510141295,10,1.1075362072087627
41,41,50,1.8716129192428699,1.7788934820586129,12,7.187870367693527
42,42,50,1.7658919014764443,1.7626833544957559,1,10.743584237579643
43,43,50,1.8132280726123646,1.7636184720396297,28,1.1470612178399497
44,44,50,1.794011701786708,1.7712054118195155,5,0.0
45,45,50,1.7985920409823035,1.7706911271130785,6,0.0
46,46,50,1.7777611308349084,1.752163244143898,8,6.1859092558236135
47,47,50,1.821864340463582,1.7555641202889798,28,0.8547374860757313
48,48,50,1.7864140147613028,1.7636833585533402,4,0.0
49,49,50,1.9452770854703438,1.752155172179684,25,0.0
