fold,seed,inner_cv_rmse,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
0,0,1.7033092495789321,450,24,4,12,0.5901368669366333
1,1,1.7187057098276852,500,17,5,17,0.6528479604429559
2,2,1.6997039806289003,350,9,11,13,0.7022307568285735
3,3,1.6993333292371502,600,17,4,9,0.5820351436891613
4,4,1.705953655110004,450,9,14,12,0.6184642868413797
5,5,1.7223766663326476,350,15,20,15,0.685271908437447
6,6,1.6974289901343416,600,16,10,13,0.7141977758900943
7,7,1.7064069981482688,550,22,5,11,0.586414905431186
8,8,1.7024305117880314,550,10,3,11,0.6319202800147962
9,9,1.7058992776431707,600,11,8,10,0.6023151594230334
10,10,1.6913316331240509,550,21,15,10,0.6277205762581826
11,11,1.7111619542474432,300,22,15,13,0.686668675053848
12,12,1.7034375308607377,550,25,14,13,0.7040883018309677
13,13,1.7104556224816185,400,23,17,8,0.641424865653203
14,14,1.7143028350823855,250,16,4,13,0.6869605623620203
15,15,1.7087437827551863,550,11,17,11,0.6971009626011223
16,16,1.6922307890885229,600,24,5,11,0.6641010129896728
17,17,1.6997411166928447,400,17,11,15,0.7081972865347296
18,18,1.714416746570547,450,13,3,15,0.6095773677102759
19,19,1.7094475508686195,400,12,18,14,0.6523100260475583
20,20,1.6956857807454184,300,19,9,10,0.625110510699189
21,21,1.7131453659808904,350,14,2,14,0.6622709322278668
22,22,1.7046339243995159,500,18,9,13,0.5992886678910384
23,23,1.7089420790051193,200,10,18,10,0.7048896180535038
24,24,1.7033264661298009,550,11,20,6,0.6363909701328133
25,25,1.7100895443982338,100,19,17,19,0.6224804421089327
26,26,1.6932216868525853,300,19,5,10,0.6460550892790106
27,27,1.697386251779006,400,21,8,10,0.6044892746397764
28,28,1.7054268278518745,500,16,18,13,0.6161597914666623
29,29,1.7024842093407446,300,19,12,13,0.6865999775425988
30,30,1.7143189720360545,600,25,6,11,0.6790448760722517
31,31,1.7110911209275166,600,24,18,13,0.608908440760846
32,32,1.707026603845573,400,16,8,15,0.675551589625728
33,33,1.699252282191408,400,15,14,15,0.6866552610033541
34,34,1.6909092477409602,300,19,5,11,0.700391675795717
35,35,1.6932083345653912,250,24,4,12,0.6182113280391826
36,36,1.7200063762330828,600,22,18,11,0.624733040108914
37,37,1.697300813128956,600,13,5,12,0.734058947121539
38,38,1.7134513783694676,550,11,16,11,0.5906612847939757
39,39,1.6986786917383019,300,24,13,13,0.6380097238900057
40,40,1.6932887122368476,600,20,17,11,0.587282707208434
41,41,1.707548877490952,600,12,8,13,0.579529286226002
42,42,1.7068271424257992,500,10,3,14,0.6081067456177209
43,43,1.7113501459289548,550,11,19,13,0.646013199854335
44,44,1.6998467248945637,550,11,19,12,0.5817870359851561
45,45,1.7177362660038966,350,19,5,14,0.698761173964926
46,46,1.7045439813843892,600,22,19,10,0.5884985209486676
47,47,1.7037574509702558,450,14,4,9,0.5739475590737532
48,48,1.700962407722073,450,20,9,11,0.589895121917114
49,49,1.7025116308022934,600,16,20,10,0.5988137954957439
