fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7045175402982156,1.7033092495789321,1,31.669767240022104
1,1,50,1.7353422324846484,1.7187057098276852,1,2.17704507730082
2,2,50,2.0641487404403076,1.6997039806289003,3,0.0
3,3,50,1.706162157662946,1.6993333292371502,1,5.809408261322512
4,4,50,1.7092684313387612,1.705953655110004,1,6.83260584177973
5,5,50,1.7237569968997755,1.7223766663326476,1,24.85024928901338
6,6,50,1.7242173287267661,1.6974289901343416,2,0.0
7,7,50,1.7139828834668804,1.7064069981482688,1,5.208318867568745
8,8,50,1.7116232586753841,1.7024305117880314,1,7.408610728121341
9,9,50,1.7230168181666325,1.7058992776431707,2,1.5695714854463205
10,10,50,2.0403327299884397,1.6913316331240509,3,0.12864349494518276
11,11,50,2.0761710185950095,1.7111619542474432,6,0.0
12,12,50,1.7688771201901612,1.7034375308607377,6,0.0
13,13,50,1.718842319187424,1.7104556224816185,1,0.0
14,14,50,1.7210305383047657,1.7143028350823855,1,0.0
15,15,50,1.7511695372186409,1.7087437827551863,2,0.01595132488437829
16,16,50,1.7033562081009876,1.6922307890885229,1,0.0
17,17,50,1.7290236108210912,1.6997411166928447,2,0.0
18,18,50,1.7304472639577373,1.714416746570547,1,1.8168447234537415
19,19,50,1.7228552661518541,1.7094475508686195,1,0.0
20,20,50,1.7906905657580592,1.6956857807454184,2,0.0
21,21,50,1.7321684823085728,1.7131453659808904,2,2.743201568601116
22,22,50,1.7552878587647194,1.7046339243995159,2,0.0
23,23,50,1.7145341404520789,1.7089420790051193,1,0.0
24,24,50,1.704795131051986,1.7033264661298009,1,36.43808861695813
25,25,50,1.722858681930576,1.7100895443982338,1,0.0
26,26,50,1.7000290730112488,1.6932216868525853,1,0.0
27,27,50,1.7089893258301694,1.697386251779006,1,0.0
28,28,50,1.712759820307113,1.7054268278518745,1,0.0
29,29,50,1.7056559584018849,1.7024842093407446,1,0.0
30,30,50,1.7302866027280324,1.7143189720360545,1,0.0
31,31,50,1.73211880876773,1.7110911209275166,5,0.0
32,32,50,1.7100164460540508,1.707026603845573,1,17.847817114862412
33,33,50,1.7159081560788407,1.699252282191408,1,0.0
34,34,50,1.7700505580368229,1.6909092477409602,2,0.0
35,35,50,1.7049370953223637,1.6932083345653912,1,0.0
36,36,50,1.734772511570469,1.7200063762330828,1,0.0
37,37,50,1.697300813128956,1.697300813128956,1,0.0
38,38,50,1.716105752434581,1.7134513783694676,1,42.27166379171924
39,39,50,1.7135572885474857,1.6986786917383019,1,0.0
40,40,50,1.8892708769893716,1.6932887122368476,2,0.21068924875234224
41,41,50,2.0892480444910317,1.707548877490952,2,0.08726443433325226
42,42,50,1.7379664726211292,1.7068271424257992,4,0.0
43,43,50,1.7194589033978385,1.7113501459289548,1,4.065217202828803
44,44,50,1.8074076154035126,1.6998467248945637,2,0.27428551094352366
45,45,50,1.7381887482963472,1.7177362660038966,3,0.02451533692578688
46,46,50,1.7097888234400298,1.7045439813843892,1,0.0
47,47,50,1.7143147754662629,1.7037574509702558,1,0.0
48,48,50,1.7146378237258417,1.700962407722073,1,0.0
49,49,50,1.7063955649624414,1.7025116308022934,1,0.0
