fold,seed,inner_cv_rmse,alpha
0,0,1.7145823961002524,3.46303089658436
1,1,1.7282570850859749,5.817477790461691
2,2,1.7103366252354557,2.2172595039825747
3,3,1.7153882494279002,1.8728666685534598
4,4,1.724618408960677,1.7482853042954039
5,5,1.728250184690944,4.7054638248226945
6,6,1.7198949220616284,5.352663652978321
7,7,1.7222310978410111,3.945860670796052
8,8,1.7183634670686487,5.753653651615043
9,9,1.7126412180518724,4.089907614032347
10,10,1.709315268360919,5.477343245464972
11,11,1.718953212948156,5.32260031770643
12,12,1.7209179507519508,5.014740710940881
13,13,1.724229521522852,3.90179077827544
14,14,1.7259271495773134,5.268846917494665
15,15,1.7197191787344757,6.684417148167367
16,16,1.7110639472289855,1.8176092241768493
17,17,1.7167890016934162,2.954006523550211
18,18,1.721542453707606,4.061115667207084
19,19,1.7249733920388557,2.049624248377468
20,20,1.7158680843878993,5.70485395446203
21,21,1.7283727089464542,8.382443020486347
22,22,1.728467408936742,6.728189786783183
23,23,1.7167668650489798,3.1494693897141577
24,24,1.708906410187081,0.9559937544650656
25,25,1.7225558026526613,2.844717977451137
26,26,1.7164780265456652,3.6275898129901445
27,27,1.709955709986885,0.33734300635322634
28,28,1.7295330408177858,2.380017562418888
29,29,1.7170069746673995,5.130003673586317
30,30,1.7231606777702548,1.8607231580106454
31,31,1.724475909311525,6.222149061423098
32,32,1.7186657611002787,5.222152141855816
33,33,1.7204334215047639,1.1200671746481057
34,34,1.7076712881439646,0.28127406622876483
35,35,1.7106531802879938,2.756901652420966
36,36,1.7263037843808635,5.4777421280795675
37,37,1.7147838542463834,5.007022309977812
38,38,1.728282670963965,0.21395349225838173
39,39,1.7152508432500249,7.8342860102889835
40,40,1.7134003182473383,1.7415854499385628
41,41,1.722914205887843,5.753225740460494
42,42,1.7218274215184484,4.019289422046812
43,43,1.7205750837584286,4.465941809859606
44,44,1.7174288109686873,3.785968775660306
45,45,1.7300553059721089,2.5151717076958784
46,46,1.7184841485947522,5.677177141723608
47,47,1.7179110818569405,5.189126512382081
48,48,1.7170148986156355,6.359014335981963
49,49,1.7166145951294236,4.621960322641408
