fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.7145846482472855,1.7145823961002524,1,0.07084913721898352
1,1,50,1.7282639505050426,1.7282570850859749,1,0.11608728082410757
2,2,50,1.710337627995229,1.7103366252354557,1,0.0
3,3,50,1.7153887071051677,1.7153882494279002,1,0.0
4,4,50,1.7256384180577378,1.724618408960677,1,0.0
5,5,50,1.7282543291737391,1.728250184690944,1,0.32076309431487626
6,6,50,1.7200282745899913,1.7198949220616284,1,0.009218372401868484
7,7,50,1.7222345409656863,1.7222310978410111,1,0.0
8,8,50,1.7184365466250777,1.7183634670686487,1,0.0
9,9,50,1.7126456172801459,1.7126412180518724,1,0.0
10,10,50,1.7093163124014477,1.709315268360919,1,1.4394470853427228
11,11,50,1.7189597405301165,1.718953212948156,1,0.0
12,12,50,1.7209234703633425,1.7209179507519508,1,0.0
13,13,50,1.7242332908430094,1.724229521522852,1,0.0
14,14,50,1.7259335595910628,1.7259271495773134,1,0.0
15,15,50,1.7197498530682325,1.7197191787344757,1,0.11331298478366682
16,16,50,1.7110647666227643,1.7110639472289855,1,0.0
17,17,50,1.7167908921166877,1.7167890016934162,1,0.0
18,18,50,1.7215441637896383,1.721542453707606,1,0.8293572589043573
19,19,50,1.7249743692024917,1.7249733920388557,1,0.0
20,20,50,1.7158739051349703,1.7158680843878993,1,0.09568559251510067
21,21,50,1.7283906146072479,1.7283727089464542,1,0.0
22,22,50,1.7284782900655702,1.728467408936742,1,0.0
23,23,50,1.7167685276237932,1.7167668650489798,1,0.03461056853694259
24,24,50,1.7098368799240755,1.708906410187081,1,2.2176928046798778e-05
25,25,50,1.7226462875698776,1.7225558026526613,1,0.0
26,26,50,1.7164812197906987,1.7164780265456652,1,0.002533638403084946
27,27,50,1.7099557205646891,1.709955709986885,1,0.0
28,28,50,1.7295340932472683,1.7295330408177858,1,0.1490729087794782
29,29,50,1.7170658568045005,1.7170069746673995,1,0.07157392065141344
30,30,50,1.7231606894563058,1.7231606777702548,1,0.0
31,31,50,1.7244842062543242,1.724475909311525,1,0.7399495320937676
32,32,50,1.7187172341719168,1.7186657611002787,1,0.0
33,33,50,1.720433716414414,1.7204334215047639,1,0.0
34,34,50,1.707671307579528,1.7076712881439646,1,0.0
35,35,50,1.7106548615432522,1.7106531802879938,1,0.0
36,36,50,1.7263039488494811,1.7263037843808635,1,0.0
37,37,50,1.7153137764614719,1.7147838542463834,1,0.0
38,38,50,1.728282675234008,1.728282670963965,1,0.0
39,39,50,1.7152630272260676,1.7152508432500249,1,0.0
40,40,50,1.713400919092372,1.7134003182473383,1,0.4690778260374476
41,41,50,1.722921800703005,1.722914205887843,1,0.0
42,42,50,1.7218313095262718,1.7218274215184484,1,1.309452944053781
43,43,50,1.720580117203517,1.7205750837584286,1,0.0
44,44,50,1.7174589939699356,1.7174288109686873,1,0.0005724186528541686
45,45,50,1.7316718234138446,1.7300553059721089,1,0.0
46,46,50,1.7184858736300406,1.7184841485947522,1,0.0
47,47,50,1.7179170088305349,1.7179110818569405,1,0.0
48,48,50,1.7170244539355934,1.7170148986156355,1,0.0
49,49,50,1.7166191310395837,1.7166145951294236,1,0.0
