fold,seed,inner_cv_rmse,C,gamma,epsilon
0,0,1.81431759783669,1.104407088219491,scale,0.027821113948367084
1,1,1.8019236028043395,2.624805573427047,auto,0.9754955869869255
2,2,1.7946716085226,3.1884268130497904,scale,0.9597330603100763
3,3,1.7811043198652154,2.1990570960247178,auto,0.9649413297213248
4,4,1.8151126929188155,1.1099148187328267,auto,0.012252022512685515
5,5,1.801534600467344,1.891199673986329,auto,0.9889925359733538
6,6,1.7961417935649742,4.102279010495668,auto,0.9607763745995946
7,7,1.7901888003219533,1.967469560760888,auto,0.9114539313710033
8,8,1.7884619967007627,2.258911625616346,auto,0.9502190310845048
9,9,1.7931862327843227,3.4653558916428686,scale,0.6708900657946242
10,10,1.7902475798586195,1.6234928620343827,scale,0.9327158515778396
11,11,1.7864493320143093,2.3918783594945197,scale,0.9577200318134085
12,12,1.7931262582383838,2.1806708410455244,scale,0.709480680812994
13,13,1.8078125511339735,1.1379849616394306,scale,0.05408242251052147
14,14,1.7963315324464346,1.802986477196209,auto,0.9648529545255653
15,15,1.790336046039982,2.133704684965844,auto,0.9779344541614244
16,16,1.7764747853598564,2.0108927495361475,scale,0.9791138502240746
17,17,1.8006742602158337,1.9786821219079342,scale,0.9947843772221261
18,18,1.8068720136644125,1.3345959928420568,auto,0.6241022446089074
19,19,1.7976650269107117,1.37431248707407,auto,0.9743963390187936
20,20,1.7754215587424167,1.8802904821921904,scale,0.982584169796881
21,21,1.797482354123496,1.3063052054545963,auto,0.990110942658931
22,22,1.795652154442834,2.7993080933954744,scale,0.9803382869148701
23,23,1.7935174888573493,3.0983403040575763,auto,0.9529942336922141
24,24,1.791312674436088,1.3582664068495505,scale,0.8895861041992228
25,25,1.795229892186315,1.5497161606758605,scale,0.9631085319013697
26,26,1.79319707081062,2.125413639523842,auto,0.9939289997343522
27,27,1.7834066995276843,1.3985926463234186,scale,0.9913088011160205
28,28,1.8055955995078345,1.8615809507140468,auto,0.9910790577629198
29,29,1.7859246281758476,3.695172364563011,auto,0.9441343009014217
30,30,1.7929046074236177,2.680281948318456,scale,0.9813492313138098
31,31,1.7897381598697055,2.1627480270315798,auto,0.9898762690006462
32,32,1.8003932138756962,1.9634571855294032,auto,0.992626698916734
33,33,1.795686334202026,3.619687254995149,scale,0.9878349715941336
34,34,1.7884381429590561,1.214772531957057,scale,0.9699936984612484
35,35,1.7866714749089811,2.032870891857646,scale,0.9824267988601835
36,36,1.7956197102398872,1.6465900613567035,auto,0.9890394893745282
37,37,1.7862362099252043,2.58986177902932,auto,0.9038814122421394
38,38,1.798477585808166,0.7921328883313412,auto,0.9957254088427524
39,39,1.8201022693605975,0.9783969858061792,scale,0.00787843735905335
40,40,1.7819659089164204,1.5177598254326368,auto,0.9728303803415863
41,41,1.7926695851827887,3.5914814764403458,auto,0.9676144199148818
42,42,1.7973943287497491,1.988296808138596,scale,0.997171909110236
43,43,1.8181163835337597,0.9757162691295459,auto,0.010120590899051459
44,44,1.7948436637912308,1.5275312671129666,scale,0.990715624060526
45,45,1.8028110135170379,1.898376692179376,auto,0.9678950411621059
46,46,1.791328748303584,2.902071386600142,scale,0.9161381988376364
47,47,1.8080986742048555,0.979827458476314,auto,0.7100447074908864
48,48,1.7916224325560441,1.5823379139479472,auto,0.9544155978045533
49,49,1.7795860362681115,1.023609835655628,scale,0.9815658354960968
