fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.9865967907762834,1.81431759783669,11,0.16044622442823933
1,1,50,1.8835885514499218,1.8019236028043395,26,0.0
2,2,50,1.882189072550424,1.7946716085226,20,0.0
3,3,50,1.9556364087335898,1.7811043198652154,11,0.0
4,4,50,2.710679407050069,1.8151126929188155,3,0.0
5,5,50,1.8276401711602257,1.801534600467344,7,0.0
6,6,50,2.6585394190659,1.7961417935649742,8,0.0
7,7,50,1.8963865897911578,1.7901888003219533,12,0.0
8,8,50,2.5923621897709976,1.7884619967007627,46,3.92093354923639
9,9,50,1.9949221718702392,1.7931862327843227,21,8.47383355247615
10,10,50,2.348625710791369,1.7902475798586195,11,0.0
11,11,50,1.8219725073418627,1.7864493320143093,19,9.091003874251506
12,12,50,1.8369594193458703,1.7931262582383838,9,0.0
13,13,50,2.1213355498447752,1.8078125511339735,5,0.0
14,14,50,1.942067701478266,1.7963315324464346,42,12.743353524846151
15,15,50,2.570618274603385,1.790336046039982,11,0.047008263314780974
16,16,50,1.8044087019821586,1.7764747853598564,22,36.26004388284762
17,17,50,1.844096298656654,1.8006742602158337,12,2.7305882197885887
18,18,50,2.1000462811836966,1.8068720136644125,3,0.0
19,19,50,1.886660163797971,1.7976650269107117,12,0.0
20,20,50,1.970644951786716,1.7754215587424167,11,0.0
21,21,50,1.9409969062480648,1.797482354123496,12,4.71958501844781
22,22,50,1.8205147049128634,1.795652154442834,29,0.0
23,23,50,1.9428637657013041,1.7935174888573493,33,7.494560377019937
24,24,50,2.8276721607960984,1.791312674436088,19,0.0
25,25,50,2.596565739254294,1.795229892186315,14,1.309975299372941
26,26,50,1.8182870281847645,1.79319707081062,22,0.0
27,27,50,1.8339858980668118,1.7834066995276843,12,0.0
28,28,50,2.302169564438456,1.8055955995078345,4,0.27988268308592973
29,29,50,2.5148382762380974,1.7859246281758476,17,0.0
30,30,50,2.122497531981252,1.7929046074236177,32,0.025972573666139868
31,31,50,1.7934594753154638,1.7897381598697055,1,47.04582080185474
32,32,50,2.2755240500764162,1.8003932138756962,30,0.0
33,33,50,1.8207930854307057,1.795686334202026,29,0.0
34,34,50,1.938039314180348,1.7884381429590561,13,2.3007218359068577
35,35,50,1.8819812089042631,1.7866714749089811,14,0.0
36,36,50,2.268094355063008,1.7956197102398872,22,0.0
37,37,50,2.653901845360362,1.7862362099252043,29,0.0
38,38,50,1.8369259159578573,1.798477585808166,21,8.718931335849787
39,39,50,1.9699473533878815,1.8201022693605975,9,0.0
40,40,50,1.8470154404052728,1.7819659089164204,14,0.0
41,41,50,1.8098506673118593,1.7926695851827887,1,0.0
42,42,50,1.8554012661517678,1.7973943287497491,47,35.28934829251567
43,43,50,1.8640079899250175,1.8181163835337597,2,0.18091698023189154
44,44,50,2.5568358481396136,1.7948436637912308,9,0.08673524474559646
45,45,50,2.884836189259387,1.8028110135170379,14,0.0
46,46,50,2.3525577938857287,1.791328748303584,28,0.0
47,47,50,1.8611566213281385,1.8080986742048555,13,3.654708004618342
48,48,50,1.9916303124384314,1.7916224325560441,17,3.6206615632640893
49,49,50,1.791756134397275,1.7795860362681115,1,0.0
