fold,seed,inner_cv_rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda
0,0,1.6864040588771243,200,3,0.04147902263819626,0.626645801269891,0.7331553864281531,3,2.4147470252828933e-07,9.848640172873773e-08,0.008071724032088088
1,1,1.6992308712086899,250,3,0.029261620436050868,0.5441549730985733,0.932204108225966,1,1.125560746129765e-06,3.543954568856879e-07,0.002439110602950554
2,2,1.6803920206243013,500,3,0.02501171812093024,0.5757832127586389,0.5979009284945116,2,0.00027291078165414903,0.00840689798160343,4.3289043018619244e-05
3,3,1.682350993444715,450,4,0.015286974828986711,0.5289366440412469,0.7262603739801097,9,1.4817169750099357e-06,0.00019717363045474462,1.5438775149952912e-07
4,4,1.695494109286892,300,3,0.036423737618770206,0.5262747669139614,0.7350823782371784,5,1.5419046097111995e-07,0.00012316889933731783,0.0007079010784625862
5,5,1.702483257346873,250,3,0.03784892490683538,0.7869192695091458,0.5647420181123193,9,0.07197195193240806,0.0009913677585849812,0.0004988555710130425
6,6,1.6898610876410576,350,3,0.02799347535893607,0.5603184923504659,0.7453281899129789,4,6.422224296825695e-08,0.8464909681648548,5.150009665618102e-06
7,7,1.6906780608720342,400,4,0.01767548292239275,0.5577808299816555,0.7035533059313932,9,4.855753046091582,3.024434191954009e-07,1.1807098707965698e-07
8,8,1.6870655077969292,350,4,0.01948137019544739,0.6863008172721867,0.8767689249100044,7,0.2866540208125798,3.823036606758868e-08,1.9430312577596703e-08
9,9,1.690426351567515,550,3,0.014239905835010709,0.6472816660032223,0.9583969354549884,4,9.833707459140528e-08,1.460032872519371,0.0004382576952029835
10,10,1.6766241140822236,500,3,0.018262913945750078,0.7010408631751278,0.6737580539061364,6,0.00010517476946370253,2.2755312592365336e-06,3.9390334348702756e-08
11,11,1.6932543456683675,250,4,0.028730169492755874,0.6795361653951245,0.8816635092693323,9,0.013859513300093175,3.825846170830373,0.7057843838555101
12,12,1.6919453444234989,600,3,0.010263793972108035,0.5712360520830058,0.9712169005383084,5,6.227410184410508e-05,0.0041344326840388555,4.296532679179573
13,13,1.6957190250217054,350,3,0.021855255229393578,0.7258266281523945,0.6839263350134124,3,7.478486029312504e-08,2.9469458211753596e-08,1.1078202891929512
