fold,seed,n_trials,first_trial_rmse,final_rmse,trial_reaching_within_1pct_of_final,pct_improvement_in_last_quarter_of_trials
0,0,50,1.739997685883497,1.6864040588771243,7,0.0
1,1,50,3.4812863495145208,1.6992308712086899,7,0.2792635913122442
2,2,50,1.6981877694383503,1.6803920206243013,3,0.0
3,3,50,1.7829422061032894,1.682350993444715,17,3.910359328995427
4,4,50,1.818756095594359,1.695494109286892,11,0.0
5,5,50,2.8055747713824806,1.702483257346873,2,0.21489485078358045
6,6,50,1.8216849979642078,1.6898610876410576,12,0.0
7,7,50,2.056415256399252,1.6906780608720342,3,0.0
8,8,50,1.9956730453507654,1.6870655077969292,14,1.2509916838204642
9,9,50,2.270834341473811,1.690426351567515,7,0.0
10,10,50,1.6841680524690552,1.6766241140822236,1,0.0
11,11,50,2.1220931420672065,1.6932543456683675,12,0.2878907629302042
12,12,50,3.072566347247183,1.6919453444234989,2,0.23006200365331914
13,13,50,1.8156927891510815,1.6957190250217054,5,0.0
14,14,50,1.9048823531964003,1.6990310969713118,6,0.0
15,15,50,2.9293839446092957,1.6883136613360612,4,0.0
16,16,50,1.7037845753718215,1.6780321519190782,10,7.444819378291246
17,17,50,2.5303700033868433,1.6848294154677217,5,0.0
18,18,50,1.8536123091586787,1.701991582692632,9,0.4380784798028596
19,19,50,2.990081744960178,1.694428573374746,2,0.0
20,20,50,1.9720072551344976,1.680668392642687,2,0.0
21,21,50,1.7093112074928503,1.7004991445348943,1,0.0
22,22,50,1.9793931058330816,1.6918976699810624,2,0.0
23,23,50,1.8460062054353223,1.698109341197481,11,0.0
24,24,50,1.9360665984414465,1.680974386973272,7,0.0
25,25,50,1.8166782866484907,1.6910687478972704,4,0.0
26,26,50,1.7755939744965357,1.6784002059008316,5,2.950539870968872
27,27,50,1.7934778869581405,1.6801963635267811,4,4.792602188157833
28,28,50,2.3360694303156473,1.694726501580502,20,0.09128308913848339
29,29,50,2.6202478229591155,1.6848016319729084,26,0.0
30,30,50,1.7560496390484588,1.704407313075532,2,0.0
31,31,50,1.8351863460962954,1.6997843020731842,8,0.0
32,32,50,1.7190715664111238,1.6901489287771299,7,0.0
33,33,50,1.796423000740356,1.6898374483263048,12,0.0
34,34,50,3.715402321617938,1.6809898402515215,2,0.0
35,35,50,2.114708230107298,1.6849717677043337,18,0.0
36,36,50,1.9837703441256955,1.7012054993204413,3,0.12216419128608684
37,37,50,1.89222504628636,1.681287947006772,13,0.0
38,38,50,1.8812293656489179,1.6928371963949975,12,3.485948483759397
39,39,50,1.8596034278183171,1.683563870546608,11,0.0
40,40,50,1.701375919187552,1.674851766618033,6,0.0
41,41,50,1.706127685983803,1.6984522132709476,1,0.0
42,42,50,1.857662169935186,1.6891145724875287,3,0.0
43,43,50,3.3575049419127696,1.6975476396529863,11,0.0
44,44,50,1.7106918386389498,1.6825461567265072,5,0.0
45,45,50,1.7576620938215828,1.708058426818074,3,2.904523343011809
46,46,50,1.9544769063085101,1.6860074614961331,13,0.8745898007564681
47,47,50,1.7909838535221048,1.688276902281726,13,0.0
48,48,50,2.925554469377989,1.6895583974902177,6,0.08680452022709331
49,49,50,1.7971434879110155,1.6902837683819911,20,0.0
