Feature,PermImportance_mean,PermImportance_std
Ambient_Temperature_C,2.48630065336291,0.027367015616912734
Solar_Radiation_Wm2,1.3055454528133974,0.019561558435326927
Heat_Reflective_Treatment,0.5611848396063175,0.012912953777887943
Coating_Reflectivity_%,0.14473427089209606,0.0055929311022686785
Wind_Speed_ms,0.02064301146958928,0.0009411052815265701
Outdoor_Humidity_%,0.012600869138080594,0.00047158056265888724
HVAC_Setpoint_C,0.012246287345415052,0.0006314382798389997
Emissivity,0.011008835394066264,0.0004902016894665894
Wall_Thickness_cm,0.009928102303707276,0.00028440493928640217
Building_Orientation,0.008465250688401881,0.00036477885847365876
Insulation_Level,0.008103593606442671,0.0003930812783635532
Occupancy_Level,0.0076715778649741,0.00041726275466810774
