Model,NestedCV_R2_mean,NestedCV_R2_std,NestedCV_R2_CI95_low,NestedCV_R2_CI95_high,NestedCV_RMSE_mean,NestedCV_RMSE_std,NestedCV_RMSE_CI95_low,NestedCV_RMSE_CI95_high,NestedCV_MAE_mean,NestedCV_MAE_std,NestedCV_MAE_CI95_low,NestedCV_MAE_CI95_high,NestedCV_MAPE_mean,NestedCV_MAPE_std,NestedCV_MAPE_CI95_low,NestedCV_MAPE_CI95_high,n_hyperparams,mean_trial_reaching_within_1pct_of_final,median_trial_reaching_within_1pct_of_final,pct_folds_still_improving_in_last_quarter,mean_pct_improvement_in_last_quarter
CatBoost,0.8275375229713511,0.0072245017295946,0.8255378281607951,0.8295161362264516,1.6791677791234614,0.0209619590083265,1.6732720817860232,1.685055617778095,1.4355539944239697,0.0233342879971321,1.42905186921013,1.4420590984337929,0.0520770236863614,0.0008903584010277,0.0518240625275055,0.0523233213780508,5.0,4.42,3.0,8.0,1.8297361516932256
XGBoost,0.8261788395766012,0.0072411126824843,0.8241197305098126,0.8281611909202037,1.685789123394463,0.0219721078287483,1.6796154135950336,1.6919369389397387,1.4363718427026444,0.0236429952742832,1.429757383108248,1.443047587026842,0.0521050506768802,0.000911897141157,0.0518457561951838,0.0523601897962753,9.0,7.8,6.5,2.0,0.5872963113379077
GradientBoosting,0.825728785421003,0.007264585684829,0.8237113167115182,0.8277384520388367,1.687963128470345,0.0218083228704788,1.6817054632643045,1.69396948921164,1.4390160874543747,0.0236632930085563,1.4323274089726308,1.4455723729220669,0.0521972054134614,0.0009201999589643,0.0519360256612836,0.0524541438198939,5.0,6.72,4.0,8.0,2.953804240592368
LightGBM,0.8249197850368521,0.0077721618303899,0.8227554680407911,0.827053896180273,1.6918043174336084,0.0235733796043818,1.6850536914628709,1.6983250948187456,1.440323258721476,0.0248642539229034,1.4332971755400816,1.447289123095959,0.0522521044519609,0.0009562421695993,0.0519814082433019,0.052520779103094,9.0,10.1,10.5,4.0,1.2953453476559147
HistGradientBoosting,0.8238964578830675,0.0076784023639906,0.8217191307307117,0.8259835878625964,1.6967739381352944,0.023950632405098,1.689877688117839,1.7034563882298237,1.4448605753557522,0.0251249328338864,1.4378262385799645,1.451916556992212,0.0524073633726506,0.0009809401585851,0.0521314313492679,0.0526811548352698,6.0,7.72,7.0,6.0,1.2946049055067175
RandomForest,0.8232218370240325,0.0071729588676844,0.8212013603904909,0.8251650108937223,1.7001052681715698,0.0222998224787339,1.693863039151966,1.7062799883074358,1.4418629808195746,0.0230537859421924,1.4354231203182226,1.448311670627455,0.0523433604393432,0.000907465133731,0.0520839850849175,0.0525956956222676,5.0,1.68,1.0,18.0,3.8289951831956572
ExtraTrees,0.8229899078305699,0.007110490336535015,0.8210118640604448,0.8249338236719957,1.701244185400032,0.02307576935211416,1.6947044443318746,1.7075225397282383,1.445277963268026,0.023787425618826574,1.4385710352067487,1.451813701521795,0.05249425427498726,0.0009354405529670725,0.05222803362028001,0.05274901267425884,5.0,2.34,1.5,16.0,2.7362494015352787
Lasso,0.8195426614962612,0.007857035512966709,0.817358017768729,0.821719147031628,1.7176061049603732,0.023094854239863377,1.7111050871996631,1.723956981067843,1.4845354187262,0.0260421417937273,1.4771926506194633,1.4917477949256963,0.0537775522281199,0.000961615903922496,0.05350449717597642,0.05404531556515359,1.0,1.46,1.0,0.0,0.15951016762805253
ElasticNet,0.8195341573147297,0.00785820111343936,0.8173511638001505,0.8217216425996481,1.7176464299977792,0.0231100809332352,1.7111489358955572,1.7240118941381144,1.4845192588713056,0.026034223328622,1.4771779719576146,1.4917420904009044,0.053777662501836423,0.0009615169215944982,0.053505728122843134,0.05404543423475933,2.0,1.72,1.0,24.0,4.4009395773657705
LinearRegression,0.8194189206793809,0.00804057093709731,0.8171913525355429,0.8216561723461776,1.7181627497249343,0.023476021065437565,1.7115086914280708,1.7246733335927937,1.4848890311675509,0.02630750293650537,1.4774065830538015,1.4921600171492777,0.05377214588947786,0.0009703606583831207,0.053497584709901326,0.0540397426759405,,,,,
HuberRegressor,0.8194181651385638,0.008037222423334177,0.817192297927904,0.821654990984267,1.7181670125823965,0.02347240865087104,1.7115136433615754,1.7246788915651883,1.4848679504702518,0.02630801652957237,1.47738892822681,1.4921369563980755,0.05377213155273416,0.0009702922040661432,0.05349772773144377,0.05403974903070466,2.0,1.0,1.0,14.000000000000002,2.6754146209192164
