Model,n_hyperparams,median_trial_reaching_within_1pct_of_final,pct_folds_still_improving_in_last_quarter,mean_pct_improvement_in_last_quarter
LightGBM,9.0,10.5,4.0,1.2953453476559147
XGBoost,9.0,6.5,2.0,0.5872963113379077
HistGradientBoosting,6.0,7.0,6.0,1.2946049055067175
CatBoost,5.0,3.0,8.0,1.8297361516932256
GradientBoosting,5.0,4.0,8.0,2.953804240592368
RandomForest,5.0,1.0,18.0,3.8289951831956572
ExtraTrees,5.0,1.5,16.0,2.7362494015352787
Bagging,3.0,8.5,18.0,4.167505179868748
DecisionTree,3.0,7.5,20.0,6.479128590912377
SVR,3.0,13.5,16.0,3.763100622035383
MLP,3.0,8.0,22.0,3.003520707388469
KNN,3.0,2.0,2.0,0.47754913260599285
AdaBoost,2.0,7.5,4.0,1.1190530009585207
HuberRegressor,2.0,1.0,14.000000000000002,2.6754146209192164
ElasticNet,2.0,1.0,24.0,4.4009395773657705
Ridge,1.0,1.0,0.0,0.11543173480885
Lasso,1.0,1.0,0.0,0.15951016762805253
LinearRegression,,,,
