model_a,model_b,metric,mean_diff_a_minus_b,cohens_dz,ttest_p,wilcoxon_p,ttest_p_holm,wilcoxon_p_holm
XGBoost,LightGBM,rmse,-0.0060151940391452415,-0.8424816592866562,2.72352654734289e-07,2.4721383162784605e-07,8.17057964202867e-06,6.921987285579689e-06
XGBoost,CatBoost,rmse,0.006621344271001672,0.9243654230832599,3.470425701883462e-08,4.2364032282193875e-08,1.1105362246027079e-06,1.3132850007480101e-06
XGBoost,HistGradientBoosting,rmse,-0.01098481474083155,-1.3658005968516636,6.315798730910892e-13,1.5631940186722204e-13,3.7263212512374265e-11,9.379164112033322e-12
XGBoost,GradientBoosting,rmse,-0.0021740050758818266,-0.35079228834970116,0.0166037311037023,0.01574343835962111,0.2822634287629391,0.26763845211355886
XGBoost,AdaBoost,rmse,-0.033987159287071404,-2.5590142750713034,2.4504690135826687e-23,1.7763568394002505e-15,2.3034408727677084e-21,2.717825964282383e-13
XGBoost,RandomForest,rmse,-0.01431614477710653,-1.7302796615794667,1.6507498640904841e-16,2.433608869978343e-13,1.1885399021451486e-14,1.3141487897883053e-11
XGBoost,ExtraTrees,rmse,-0.015455062005568699,-1.4169862684001275,1.8863533977850787e-13,1.2434497875801753e-14,1.150675572648898e-11,8.206768598029157e-13
XGBoost,Bagging,rmse,-0.0413219539729913,-3.186392092391011,1.6472753920877398e-27,1.7763568394002505e-15,1.7625846695338816e-25,2.717825964282383e-13
XGBoost,DecisionTree,rmse,-0.1505572048245709,-7.6004909644435,3.183761082152823e-45,1.7763568394002505e-15,4.298077460906311e-43,2.717825964282383e-13
XGBoost,LinearRegression,rmse,-0.03237362633047123,-2.3974080851513495,3.889486321483319e-22,3.552713678800501e-15,3.1893787836163216e-20,2.717825964282383e-13
XGBoost,Ridge,rmse,-0.032378901731635226,-2.4046367356163096,3.427295536919769e-22,3.552713678800501e-15,2.878928251012606e-20,2.717825964282383e-13
XGBoost,Lasso,rmse,-0.031816981565910125,-2.4609931711735036,1.2901650942674757e-22,1.7763568394002505e-15,1.0966403301273543e-20,2.717825964282383e-13
XGBoost,ElasticNet,rmse,-0.03185730660331632,-2.480397273852618,9.250897218903381e-23,1.7763568394002505e-15,7.955771608256907e-21,2.717825964282383e-13
XGBoost,HuberRegressor,rmse,-0.032377889187932996,-2.3993831490984388,3.7572422345652356e-22,3.552713678800501e-15,3.1185110546891453e-20,2.717825964282383e-13
XGBoost,KNN,rmse,-0.4442390540586848,-13.246398273451542,6.291775585569162e-57,1.7763568394002505e-15,9.37474562249805e-55,2.717825964282383e-13
XGBoost,SVR,rmse,-0.09593529031454498,-4.284190024536137,2.1650535031447885e-33,1.7763568394002505e-15,2.5764136687422983e-31,2.717825964282383e-13
XGBoost,MLP,rmse,-0.07175001256326319,-1.6523470708018133,8.97177993189204e-16,1.7763568394002505e-15,6.280245952324428e-14,2.717825964282383e-13
LightGBM,CatBoost,rmse,0.012636538310146914,1.629519142434975,1.4840748137490626e-15,3.375077994860476e-14,1.0091708733493626e-13,2.1600499167107046e-12
LightGBM,HistGradientBoosting,rmse,-0.004969620701686308,-0.5605306780932401,0.00023966396300404604,0.0001362867761987019,0.006470927001109243,0.003679742957364951
LightGBM,GradientBoosting,rmse,0.0038411889632634154,0.5996219435995868,9.862953499445067e-05,0.0001362867761987019,0.0027616269798446187,0.003679742957364951
LightGBM,AdaBoost,rmse,-0.02797196524792616,-2.0285002409171344,3.6258162439468216e-19,1.7763568394002505e-15,2.7193621829601162e-17,2.717825964282383e-13
LightGBM,RandomForest,rmse,-0.008300950737961287,-0.9319859847111694,2.8634646453987145e-08,8.403119267086367e-08,9.449433329815758e-07,2.4369045874550466e-06
LightGBM,ExtraTrees,rmse,-0.009439867966423456,-0.8767979038052589,1.1504891599051777e-07,7.798730550234723e-08,3.566516395706051e-06,2.3396191650704168e-06
LightGBM,Bagging,rmse,-0.03530675993384606,-2.722347237538337,1.7055188810570206e-24,1.7763568394002505e-15,1.6714085034358801e-22,2.717825964282383e-13
LightGBM,DecisionTree,rmse,-0.14454201078542567,-6.758820166910683,9.006781690892713e-43,1.7763568394002505e-15,1.1798884015069454e-40,2.717825964282383e-13
LightGBM,LinearRegression,rmse,-0.026358432291325985,-2.0607853271192202,1.9317678564894228e-19,8.881784197001252e-15,1.4874612494968556e-17,6.128431095930864e-13
LightGBM,Ridge,rmse,-0.026363707692489986,-2.0665563823579727,1.7272702603400487e-19,8.881784197001252e-15,1.3645435056686384e-17,6.128431095930864e-13
LightGBM,Lasso,rmse,-0.025801787526764885,-2.0592238982806146,1.9912126200402963e-19,3.552713678800501e-15,1.5133215912306253e-17,2.717825964282383e-13
LightGBM,ElasticNet,rmse,-0.02584211256417108,-2.0758177037515546,1.4439634959893304e-19,3.552713678800501e-15,1.1551707967914644e-17,2.717825964282383e-13
LightGBM,HuberRegressor,rmse,-0.026362695148787755,-2.06260543072044,1.8647456708978847e-19,8.881784197001252e-15,1.45450162330035e-17,6.128431095930864e-13
LightGBM,KNN,rmse,-0.4382238600195396,-12.580671817932014,7.758645417498143e-56,1.7763568394002505e-15,1.140520876372227e-53,2.717825964282383e-13
LightGBM,SVR,rmse,-0.08992009627539974,-3.9947063607828395,5.561160360986719e-32,1.7763568394002505e-15,6.50655762235446e-30,2.717825964282383e-13
LightGBM,MLP,rmse,-0.06573481852411794,-1.5321185904993109,1.3194835757930047e-14,1.7763568394002505e-15,8.708591600233831e-13,2.717825964282383e-13
CatBoost,HistGradientBoosting,rmse,-0.01760615901183322,-1.848484010936081,1.3643861602331023e-17,1.7763568394002505e-15,9.960018969701646e-16,2.717825964282383e-13
CatBoost,GradientBoosting,rmse,-0.008795349346883499,-1.4235315423599715,1.6180848159887855e-13,1.7763568394002505e-14,1.003212585913047e-11,1.1546319456101628e-12
CatBoost,AdaBoost,rmse,-0.04060850355807308,-3.504937666182844,2.236957494749244e-29,1.7763568394002505e-15,2.438283669276676e-27,2.717825964282383e-13
CatBoost,RandomForest,rmse,-0.0209374890481082,-2.484614905131591,8.607823056692588e-23,1.7763568394002505e-15,7.488806059322551e-21,2.717825964282383e-13
