Model,mean_diff,ci_low,ci_high
CatBoost,0.0,0.0,0.0
XGBoost,0.006621344271001672,0.0046365857997090944,0.008549371312460589
GradientBoosting,0.008795349346883499,0.007132096208813209,0.010527301965870197
LightGBM,0.012636538310146914,0.01054089836456394,0.014784340988166255
HistGradientBoosting,0.01760615901183322,0.01521246671496618,0.020459322597409433
RandomForest,0.0209374890481082,0.018583684776850698,0.02322960133161081
ExtraTrees,0.02207640627657037,0.019787470968874604,0.024399275201973405
Lasso,0.0384383258369118,0.03554535993188488,0.04138316318637159
ElasticNet,0.03847865087431799,0.035603905450197405,0.04141420571099914
LinearRegression,0.0389949706014729,0.03590896793434439,0.04206268516994575
HuberRegressor,0.03899923345893467,0.03591884861428376,0.04206609962513714
Ridge,0.0390002460026369,0.03593165587524154,0.042063747422037924
AdaBoost,0.04060850355807308,0.03748353811587706,0.04380988515900157
Bagging,0.04794329824399297,0.04443366651111416,0.05152820527833986
MLP,0.07837135683426485,0.06903951851283496,0.09181261596523749
SVR,0.10255663458554665,0.09690635135539602,0.10846373234750113
DecisionTree,0.15717854909557258,0.15169082497597236,0.16273177479688805
KNN,0.4508603983296865,0.44180774273575957,0.45962177932946074
